pearson_r,protein_a,protein_b
0.9922847421845359,HNRNPM_HepG2,MATR3_HepG2
0.9922192316456085,HNRNPL_K562,TAF15_HepG2
0.9919641517262556,HNRNPK_K562,SLBP_K562
0.9917839631091794,CSTF2T_K562,DDX6_K562
0.9915641300577229,CSTF2T_K562,FAM120A_K562
0.9912981397093108,DHX30_K562,IGF2BP1_K562
0.9908572986448275,LARP4_K562,NCBP2_HepG2
0.9906414426013433,SAFB_K562,SF3A3_HepG2
0.9906384397644077,DDX24_K562,HNRNPM_HepG2
0.9905660054394424,CPSF6_K562,NIPBL_K562
0.9904773946307952,FASTKD2_HepG2,SDAD1_HepG2
0.9904709274404339,DGCR8_HepG2,SF3A3_HepG2
0.9903656061893551,DDX52_HepG2,SUB1_HepG2
0.9902333812962995,UTP3_K562,WDR3_K562
0.9898146382285404,RBM15_K562,ZC3H11A_HepG2
0.9897983625740603,HNRNPK_HepG2,SF3B1_K562
0.9896872039556874,CSTF2_HepG2,LARP7_HepG2
0.9896199278383409,DHX30_HepG2,SRSF7_HepG2
0.9895508623309829,DDX6_HepG2,FXR2_HepG2
0.9893739424295279,CSTF2_HepG2,SMNDC1_HepG2
0.9893727310263857,SUPV3L1_HepG2,XPO5_HepG2
0.9893609210707922,PRPF8_K562,SF3A3_HepG2
0.9893591630857931,CSTF2_HepG2,DGCR8_HepG2
0.989111492112005,SSB_HepG2,ZRANB2_K562
0.9891062687668594,DHX30_K562,TAF15_HepG2
0.9890415873690064,HNRNPK_HepG2,TROVE2_HepG2
0.9889425437332187,DHX30_K562,HNRNPL_K562
0.9888971427171729,DDX24_K562,METAP2_K562
0.9888087298277938,DGCR8_HepG2,SAFB_K562
0.9887103222708947,DDX6_K562,FAM120A_K562
0.9887012888263136,FAM120A_K562,GPKOW_K562
0.9886814779170352,SF3B1_K562,TROVE2_HepG2
0.9886589136605755,RBM22_HepG2,SLBP_K562
0.9886541615390874,EIF4G2_K562,WDR43_K562
0.9885675664353853,CPSF6_K562,WRN_K562
0.9885178544670445,CSTF2T_K562,DDX24_K562
0.988403410799243,FAM120A_K562,METAP2_K562
0.988385434196035,DGCR8_K562,EFTUD2_HepG2
0.9883345616122057,KHDRBS1_K562,RBM15_HepG2
0.9883171522282134,DDX6_HepG2,SRSF1_K562
0.9882984967683321,DGCR8_HepG2,PPIL4_K562
0.9882290115996396,TRA2A_HepG2,UPF1_K562
0.9880834176184733,PRPF8_HepG2,UTP3_K562
0.9879605567798295,DDX24_K562,MATR3_HepG2
0.9878443797122374,GTF2F1_K562,HNRNPM_HepG2
0.9878242228649572,DHX30_K562,PPIL4_K562
0.9877185442174815,AQR_HepG2,UCHL5_K562
0.9876546551256407,AKAP8L_K562,FXR2_HepG2
0.9876305529050243,HNRNPM_HepG2,SF3B4_HepG2
0.9876135554174347,NOLC1_K562,SF3B4_HepG2
