protein,phase_rad,mean_alpha
DGCR8_K562,-0.33313227,0.08541571
NONO_K562,-0.31046796,0.064789124
LSM11_K562,-0.22549747,0.0357717
ILF3_K562,-0.15756562,0.016317029
EXOSC5_HepG2,-0.13413762,0.0385111
HNRNPU_HepG2,-0.12718558,0.07204674
FTO_HepG2,-0.0093670115,0.010956472
IGF2BP1_K562,-0.0014380686,0.00045935388
LIN28B_K562,-4.406365e-05,4.3494222e-07
GRWD1_K562,-8.602129e-06,9.776156e-08
SRSF9_HepG2,-4.9554133e-06,4.0711328e-08
UCHL5_K562,-3.7799468e-06,4.4476515e-08
TRA2A_HepG2,-3.6902006e-06,2.1614502e-08
LSM11_HepG2,-2.9510363e-06,4.3520984e-08
HLTF_HepG2,-2.42117e-06,2.0442965e-08
UPF1_K562,-1.9997503e-06,9.778481e-09
KHSRP_K562,-1.8947705e-06,9.4744275e-09
FTO_K562,-1.8871472e-06,6.1040724e-09
YBX3_HepG2,-1.8334466e-06,3.0036343e-08
EWSR1_K562,-1.6434583e-06,8.502322e-09
RBFOX2_HepG2,-1.5845053e-06,1.2186427e-08
ZC3H8_K562,-1.561861e-06,1.09832365e-08
ZNF800_K562,-1.4195892e-06,2.9324639e-08
ILF3_HepG2,-1.2324584e-06,1.2651088e-08
RBM22_HepG2,-1.1270395e-06,6.366213e-09
CSTF2T_K562,-1.0838834e-06,4.5630628e-08
KHSRP_HepG2,-1.0823884e-06,1.7809024e-08
FUS_HepG2,-1.0773261e-06,8.341127e-09
NCBP2_HepG2,-1.0105913e-06,5.2264646e-09
HNRNPM_HepG2,-9.743821e-07,9.944033e-08
BUD13_HepG2,-8.9916864e-07,4.0987316e-09
TAF15_HepG2,-8.6695803e-07,4.492495e-09
AGGF1_HepG2,-8.597037e-07,8.4746e-09
FXR2_HepG2,-8.576889e-07,1.3820302e-08
FASTKD2_HepG2,-8.537391e-07,9.5961346e-09
ABCF1_K562,-8.0947524e-07,7.069736e-09
EIF4G2_K562,-7.3728876e-07,9.114119e-08
PCBP1_HepG2,-7.3484034e-07,4.944636e-08
NIP7_HepG2,-7.340859e-07,7.3473934e-09
AATF_K562,-6.863905e-07,6.752713e-09
HNRNPU_K562,-6.7731224e-07,3.731907e-09
GPKOW_K562,-6.7572574e-07,2.6080216e-09
KHDRBS1_K562,-6.653486e-07,3.2240937e-09
GTF2F1_HepG2,-6.638389e-07,5.3547993e-09
TRA2A_K562,-6.62207e-07,1.44779655e-08
EIF3D_HepG2,-6.5212004e-07,6.9127615e-09
AGGF1_K562,-6.175172e-07,6.013339e-09
PABPC4_K562,-5.984495e-07,3.543332e-09
FAM120A_K562,-5.857905e-07,4.340641e-09
SND1_K562,-5.778953e-07,9.19144e-09
SF3B4_HepG2,-5.7402434e-07,2.2475124e-09
U2AF2_K562,-5.651819e-07,9.501669e-09
SERBP1_K562,-5.64004e-07,1.4524013e-08
PPIL4_K562,-5.3860276e-07,4.0114334e-09
BUD13_K562,-5.32914e-07,5.2419757e-09
GRSF1_HepG2,-5.030871e-07,4.900827e-09
SRSF1_K562,-4.8662287e-07,9.646175e-09
FKBP4_HepG2,-4.8653743e-07,2.7926381e-09
RBFOX2_K562,-4.696721e-07,3.3260408e-09
HNRNPL_K562,-4.5754126e-07,4.801667e-09
YWHAG_K562,-4.5509972e-07,2.421087e-09
TIA1_HepG2,-4.3219845e-07,3.0589464e-09
EFTUD2_K562,-4.3009518e-07,3.374189e-09
SSB_K562,-4.2437313e-07,8.79583e-09
POLR2G_HepG2,-4.139824e-07,6.9987616e-09
UPF1_HepG2,-4.1128828e-07,1.124134e-08
SUGP2_HepG2,-4.015479e-07,2.5289996e-08
FXR2_K562,-3.9885174e-07,5.938843e-09
APOBEC3C_K562,-3.971834e-07,3.8673718e-09
LARP7_HepG2,-3.9479735e-07,1.0241603e-08
SFPQ_HepG2,-3.8855555e-07,6.9235857e-09
SBDS_K562,-3.847102e-07,8.180253e-09
FXR1_K562,-3.8181636e-07,6.5871144e-09
DDX6_HepG2,-3.734505e-07,2.8206868e-09
