cos_delta_phi,protein_a,protein_b
1.0,AARS_K562,AATF_K562
1.0,AARS_K562,ABCF1_K562
1.0,AARS_K562,AGGF1_HepG2
1.0,AARS_K562,AGGF1_K562
1.0,AARS_K562,AKAP1_HepG2
1.0,AARS_K562,AKAP1_K562
1.0,AARS_K562,AKAP8L_K562
1.0,AARS_K562,APOBEC3C_K562
1.0,AARS_K562,AQR_HepG2
1.0,AARS_K562,AQR_K562
1.0,AARS_K562,BCCIP_HepG2
1.0,AARS_K562,BUD13_HepG2
1.0,AARS_K562,BUD13_K562
1.0,AARS_K562,CDC40_HepG2
1.0,AARS_K562,CPEB4_K562
1.0,AARS_K562,CPSF6_K562
1.0,AARS_K562,CSTF2_HepG2
1.0,AARS_K562,CSTF2T_HepG2
1.0,AARS_K562,CSTF2T_K562
1.0,AARS_K562,DDX21_K562
1.0,AARS_K562,DDX24_K562
1.0,AARS_K562,DDX3X_HepG2
1.0,AARS_K562,DDX42_K562
1.0,AARS_K562,DDX51_K562
1.0,AARS_K562,DDX52_HepG2
0.9333351,DGCR8_K562,TARDBP_K562
0.92744446,BCLAF1_HepG2,DGCR8_K562
0.9260269,GRWD1_HepG2,LSM11_K562
0.92560333,DDX3X_K562,NONO_K562
0.9208445,NONO_K562,PABPN1_HepG2
0.9197962,LSM11_K562,ZNF622_K562
0.91678804,DDX3X_K562,DGCR8_K562
0.9167631,LSM11_K562,SND1_HepG2
0.91225237,NONO_K562,YBX3_K562
0.9117713,DGCR8_K562,PABPN1_HepG2
0.90273494,DGCR8_K562,YBX3_K562
0.90180695,DDX55_HepG2,NONO_K562
0.8917821,DDX55_HepG2,DGCR8_K562
0.89065176,GRWD1_HepG2,NONO_K562
0.8866328,HNRNPU_HepG2,SRSF7_HepG2
0.88339627,EXOSC5_HepG2,SRSF7_HepG2
0.8831758,NONO_K562,ZNF622_K562
0.8801188,DGCR8_K562,GRWD1_HepG2
0.8795566,NONO_K562,SND1_HepG2
0.87231934,DGCR8_K562,ZNF622_K562
0.8721758,ILF3_K562,SRSF7_HepG2
0.86854804,DGCR8_K562,SND1_HepG2
0.836958,LSM11_K562,SRSF7_HepG2
0.7874928,NONO_K562,SRSF7_HepG2
0.7733232,DGCR8_K562,SRSF7_HepG2
