position,mean_log1p_signal
0,0.07439185
1,0.07529424
2,0.07614426
3,0.07549216
4,0.07649654
5,0.076532364
6,0.07457387
7,0.07572685
8,0.07421556
9,0.07657405
10,0.0760916
11,0.074128434
12,0.075094394
13,0.07424888
14,0.07500343
15,0.07566082
16,0.07732294
17,0.07561319
18,0.077835545
19,0.07680325
20,0.076406054
21,0.07496461
22,0.07460044
23,0.07502969
24,0.075005144
25,0.076094516
26,0.07803879
27,0.076221816
28,0.07964106
29,0.07817029
30,0.07933746
31,0.079220936
32,0.07711034
33,0.077342495
34,0.07781066
35,0.08078006
36,0.078604445
37,0.07952037
38,0.08016553
39,0.07885097
40,0.080682665
41,0.080540165
42,0.07934622
43,0.081958085
44,0.082471095
45,0.07995257
46,0.07940132
47,0.07983098
48,0.079255745
49,0.07977009
50,0.081051454
51,0.07938136
52,0.08205714
53,0.08038526
54,0.08030775
55,0.08038123
56,0.0808957
57,0.082239
58,0.080859326
59,0.08044279
60,0.0810061
61,0.07942284
62,0.0792498
63,0.08012265
64,0.079430714
65,0.081629544
66,0.08110698
67,0.07948068
68,0.08035707
69,0.08126332
70,0.07918895
71,0.07837864
72,0.07919689
73,0.078371994
74,0.07917455
75,0.07842134
76,0.07946633
77,0.07938236
78,0.07576344
79,0.081308715
80,0.07952584
81,0.07786927
82,0.077278845
83,0.07750629
84,0.07852092
85,0.07855302
86,0.078290336
87,0.07835513
88,0.07863279
89,0.07567394
90,0.077483036
91,0.076853134
92,0.07737218
93,0.077951245
94,0.07724081
95,0.07769088
96,0.075842306
97,0.07611628
98,0.078938134
99,0.079805255
100,0.07858652
101,0.07743835
102,0.08048166
103,0.0803804
104,0.07881531
105,0.077207744
106,0.07965843
107,0.07885599
108,0.07686085
109,0.08163087
110,0.07819362
111,0.07745195
112,0.07812972
113,0.07884831
114,0.07784357
115,0.07707415
116,0.07703515
117,0.07883979
118,0.077886395
119,0.0772463
120,0.07809522
121,0.07694845
122,0.08013442
123,0.0774485
124,0.07930947
125,0.07902601
126,0.07849118
127,0.079122156
128,0.077194974
129,0.07779615
130,0.07641376
131,0.076695815
132,0.077001564
133,0.07808493
134,0.07886098
135,0.07512769
136,0.07679136
137,0.07778044
138,0.07734358
139,0.07544103
140,0.07572021
141,0.07677716
142,0.076539285
143,0.07507109
144,0.07744454
145,0.07554202
146,0.078221604
147,0.07700766
148,0.077026635
149,0.07561579
150,0.07568423
151,0.07478646
152,0.075261004
153,0.075901985
154,0.07422415
155,0.07518927
156,0.074635684
157,0.07631116
158,0.077067904
159,0.07925996
160,0.07599394
161,0.075274475
162,0.07552768
163,0.07661516
164,0.07516955
165,0.07653422
166,0.07690194
167,0.07605208
168,0.07722859
169,0.07572364
170,0.0753743
171,0.07466346
172,0.07309269
173,0.07397879
174,0.07608486
175,0.077027835
176,0.07665109
177,0.07616784
178,0.074160025
179,0.07609308
180,0.07497171
181,0.07541639
182,0.07671952
183,0.07378356
184,0.0754727
185,0.07702212
186,0.07712008
187,0.07518504
188,0.07363896
189,0.07394649
190,0.07530151
191,0.07657186
192,0.07652552
193,0.07488253
194,0.076056086
195,0.074173875
196,0.07713645
197,0.075226
198,0.07653276
199,0.07602694
200,0.07624466
201,0.07669522
202,0.07527053
203,0.07434005
204,0.074742384
205,0.075145364
206,0.0755739
207,0.076565295
208,0.0753939
209,0.0755121
210,0.0743727
211,0.07474928
212,0.073724486
213,0.074111484
214,0.07245943
215,0.07483427
216,0.07441145
217,0.075155556
218,0.07485263
219,0.07575329
220,0.07637489
221,0.07877111
222,0.07454624
223,0.07679894
224,0.075141154
225,0.07583253
226,0.07579812
227,0.07608612
228,0.07461171
229,0.07513553
230,0.076062344
231,0.07494292
232,0.07465418
233,0.07373904
234,0.07545798
235,0.07480294
236,0.0746466
237,0.07522015
238,0.07383185
239,0.07268272
240,0.0735707
241,0.07284344
242,0.07377136
243,0.07435684
244,0.07472853
245,0.0739448
246,0.07261632
247,0.07379725
248,0.07462614
249,0.07246136
250,0.07520013
251,0.07290557
252,0.07310162
253,0.0729008
254,0.074594975
255,0.07412039
256,0.07349386
257,0.07437377
258,0.07494463
259,0.073710136
260,0.07556469
261,0.07252926
262,0.073494315
263,0.07636335
264,0.07624942
265,0.074118726
266,0.07315386
267,0.072811306
268,0.07340893
269,0.07301369
270,0.07146133
271,0.07102602
272,0.073842734
273,0.073131174
274,0.07298004
275,0.07173059
276,0.0718253
277,0.0717053
278,0.07529015
279,0.07369937
280,0.073499255
281,0.07223169
282,0.07351752
283,0.07284546
284,0.07472741
285,0.07238738
286,0.072757736
287,0.07377483
288,0.07522837
289,0.075449616
290,0.073944554
291,0.07202892
292,0.07412821
293,0.073190905
294,0.0741935
295,0.07249576
296,0.07167472
297,0.07148558
298,0.07267499
299,0.074379265
300,0.07313421
301,0.07274741
302,0.072327726
303,0.0729178
304,0.07286689
305,0.073738106
306,0.073840864
307,0.072699286
308,0.071616106
309,0.07386762
310,0.07201689
311,0.072452754
312,0.07401013
313,0.07184769
314,0.07508198
315,0.070701525
316,0.071752764
317,0.07189569
318,0.0731428
319,0.073277816
320,0.07057793
321,0.07229005
322,0.07215014
323,0.07319643
324,0.07245306
325,0.074883975
326,0.07292741
327,0.07460422
328,0.07302435
329,0.07491714
330,0.0743908
331,0.072485395
332,0.07421777
333,0.07313847
334,0.07310949
335,0.07346966
336,0.07346419
337,0.074634165
338,0.07316979
339,0.07244246
340,0.07534537
341,0.071523316
342,0.074697524
343,0.07322283
344,0.07170037
345,0.07214245
346,0.07513803
347,0.07188855
348,0.070744894
349,0.07142723
350,0.071740724
351,0.071857624
352,0.070224136
353,0.0725327
354,0.07183088
355,0.071902096
356,0.07332774
357,0.073401965
358,0.07168365
359,0.072405525
360,0.07190911
361,0.07151797
362,0.070919454
363,0.072211996
364,0.0727391
365,0.07289033
366,0.0725842
367,0.07248485
368,0.071562484
369,0.07107095
370,0.07267556
371,0.07104876
372,0.07265804
373,0.0718789
374,0.0708527
375,0.07169493
376,0.071012266
377,0.07204474
378,0.07157942
379,0.07199141
380,0.07011943
381,0.070272215
382,0.07125425
383,0.07295045
384,0.070987456
385,0.07014134
386,0.06918592
387,0.071100906
388,0.06986412
389,0.07057198
390,0.072115436
391,0.07056312
392,0.070267424
393,0.069728315
394,0.07071119
395,0.07234675
396,0.07077961
397,0.071036585
398,0.07053027
399,0.072914235
400,0.071582265
401,0.071841076
402,0.070871316
403,0.07182523
404,0.070977926
405,0.07260937
406,0.07201173
407,0.07126565
408,0.07196199
409,0.07102748
410,0.070965886
411,0.07206972
412,0.072610445
413,0.07122065
414,0.07229316
415,0.07145804
416,0.07219128
417,0.069740094
418,0.070807286
419,0.07139681
420,0.07378545
421,0.07351719
422,0.07196363
423,0.07052703
424,0.07060486
425,0.07087267
426,0.07072849
427,0.07146946
428,0.071159035
429,0.071402505
430,0.0705042
431,0.07105343
432,0.06928449
433,0.06971236
434,0.07005592
435,0.07069734
436,0.07117256
437,0.07148247
438,0.07012386
439,0.07056479
440,0.06888854
441,0.06958784
442,0.07222246
443,0.071772665
444,0.07200028
445,0.07195251
446,0.07258817
447,0.07067573
448,0.073001586
449,0.07101511
450,0.07053698
451,0.07278678
452,0.07388389
453,0.07369911
454,0.0730187
455,0.073344655
456,0.072154194
457,0.073132955
458,0.071844935
459,0.07291189
460,0.07273907
461,0.07130528
462,0.07257718
463,0.072103225
464,0.07271607
465,0.073486805
466,0.07308881
467,0.07148347
468,0.07414973
469,0.07240176
470,0.07254072
471,0.07037986
472,0.07042993
473,0.07028971
474,0.069834985
475,0.070332564
476,0.072887525
477,0.06967471
478,0.072602816
479,0.070829086
480,0.07230095
481,0.070646234
482,0.068895996
483,0.070373654
484,0.06937959
485,0.07187921
486,0.07171662
487,0.07288631
488,0.07177581
489,0.0700533
490,0.070882365
491,0.07238316
492,0.06987724
493,0.07157778
494,0.0722036
495,0.07139211
496,0.06963317
497,0.06914358
498,0.06904654
499,0.06984995
500,0.07114708
501,0.06982512
502,0.071600154
503,0.07041955
504,0.07171789
505,0.070363805
506,0.070284046
507,0.07170176
508,0.07182539
509,0.07087261
510,0.07129686
511,0.069148615
512,0.06773451
513,0.06968087
514,0.06735796
515,0.06962532
516,0.06833838
517,0.06769879
518,0.069478765
519,0.06919743
520,0.06806968
521,0.066383265
522,0.067897536
523,0.066248685
524,0.067460276
525,0.06733665
526,0.06846429
527,0.06776169
528,0.06399688
529,0.06830897
530,0.06811805
531,0.06654029
532,0.066019386
533,0.06584486
534,0.06715757
535,0.06762875
536,0.066230245
537,0.066476524
538,0.06619806
539,0.06478773
540,0.064911745
541,0.06486065
542,0.066190265
543,0.06555972
544,0.06528845
545,0.06565085
546,0.063913114
547,0.06405975
548,0.06519922
549,0.06624924
550,0.0655712
551,0.06369911
552,0.0657104
553,0.065733925
554,0.063528344
555,0.062224206
556,0.065709464
557,0.06438892
558,0.06418854
559,0.06681904
560,0.064969435
561,0.06422705
562,0.06473643
563,0.06516799
564,0.06353444
565,0.064570546
566,0.06337913
567,0.06487032
568,0.064765975
569,0.06407403
570,0.065355994
571,0.06340428
572,0.06656326
573,0.06383005
574,0.065844536
575,0.06422072
576,0.063942686
577,0.06349249
578,0.06278666
579,0.06372264
580,0.06290438
581,0.0643021
582,0.061787616
583,0.063330434
584,0.06465784
585,0.060902275
586,0.06304176
587,0.06345059
588,0.06293181
589,0.0615224
590,0.061299372
591,0.062102687
592,0.062112126
593,0.06134297
594,0.06286117
595,0.061742246
596,0.062224276
597,0.06259373
598,0.06223724
599,0.06142658
