protein,pearson_r
YBX3_HepG2,0.23570594
PABPN1_HepG2,0.23288827
SND1_K562,0.23078291
FXR1_K562,0.2306141
GRWD1_HepG2,0.22947434
SND1_HepG2,0.22755285
UCHL5_HepG2,0.22672217
EIF3H_HepG2,0.22612414
ZNF800_HepG2,0.22534087
RPS3_HepG2,0.22510524
G3BP1_HepG2,0.22405231
YBX3_K562,0.22262676
SRSF1_K562,0.22144547
FXR2_K562,0.22023384
FXR2_HepG2,0.21987227
SRSF1_HepG2,0.21853654
PPIG_HepG2,0.2150642
HNRNPC_K562,0.21498938
GRWD1_K562,0.21493968
EIF3D_HepG2,0.21493657
HLTF_K562,0.21293096
ZNF622_K562,0.21238625
ABCF1_K562,0.21203215
LARP4_HepG2,0.21178499
DDX55_K562,0.21108854
METAP2_K562,0.2110847
FMR1_K562,0.21081838
FASTKD2_HepG2,0.2103415
SRSF9_HepG2,0.20985404
NIP7_HepG2,0.20955817
PUM1_K562,0.20954235
SDAD1_HepG2,0.2083482
POLR2G_HepG2,0.20791392
NOL12_HepG2,0.20788069
BCLAF1_HepG2,0.20747271
SRSF7_K562,0.20744732
ZNF800_K562,0.20651667
RPS3_K562,0.20563987
LSM11_HepG2,0.2053246
IGF2BP2_K562,0.20506756
PRPF4_HepG2,0.20483537
DDX24_K562,0.20476699
APOBEC3C_K562,0.20209694
DDX3X_HepG2,0.20199423
XRCC6_K562,0.20155606
UCHL5_K562,0.20092225
NOLC1_K562,0.20043011
NCBP2_HepG2,0.19899026
DDX3X_K562,0.19897327
FTO_HepG2,0.19728228
RBM15_HepG2,0.19706997
EIF3G_K562,0.19695853
TRA2A_HepG2,0.19594696
IGF2BP1_HepG2,0.19575188
U2AF1_HepG2,0.19489393
LIN28B_HepG2,0.19478653
BUD13_HepG2,0.19429645
RBM15_K562,0.1942535
IGF2BP3_HepG2,0.19391474
DDX6_HepG2,0.19389084
LIN28B_K562,0.19223073
HLTF_HepG2,0.19159111
DHX30_HepG2,0.19128804
XRCC6_HepG2,0.19015989
MTPAP_K562,0.18855919
CPSF6_K562,0.1879999
GEMIN5_K562,0.18766168
IGF2BP1_K562,0.18661018
DDX6_K562,0.18659249
WDR43_HepG2,0.18597393
SSB_HepG2,0.18566659
YWHAG_K562,0.1847169
SUB1_HepG2,0.18418139
FTO_K562,0.18354857
STAU2_HepG2,0.18315819
PABPC4_K562,0.18208191
NCBP2_K562,0.1807902
GRSF1_HepG2,0.18061797
TBRG4_HepG2,0.17977265
NIPBL_K562,0.17968807
NOLC1_HepG2,0.17935842
RPS11_K562,0.17747673
SLTM_HepG2,0.17729416
BUD13_K562,0.17705585
PTBP1_HepG2,0.17690663
UTP18_K562,0.1768544
AGGF1_HepG2,0.17516449
TRA2A_K562,0.17446436
AKAP1_K562,0.17433377
AQR_HepG2,0.17406625
PPIL4_K562,0.17402044
TBRG4_K562,0.17394724
