rank	protein	mean_alpha	std_alpha	exp_log_scale	effective_weight
1	PABPN1_HepG2	0.1852035	0.15988545	1.1428308	0.21165626
2	HNRNPC_K562	0.18043534	0.27635378	1.0486634	0.18921594
3	SND1_HepG2	0.1615127	0.1019649	1.0806445	0.17453781
4	SND1_K562	0.071912825	0.07558151	1.1381699	0.08184901
5	U2AF2_HepG2	0.057099067	0.077243574	0.93770605	0.05354214
6	HNRNPC_HepG2	0.055865444	0.08648564	1.0194397	0.056951452
7	YBX3_HepG2	0.051059898	0.102143236	0.92027146	0.046988968
8	GRWD1_HepG2	0.03916267	0.07334732	1.0507282	0.041149322
9	YBX3_K562	0.03548892	0.057448853	1.0371598	0.03680768
10	NIP7_HepG2	0.034813575	0.032233596	1.0317234	0.03591798
11	HLTF_K562	0.028696038	0.05596138	1.0347393	0.029692916
12	LIN28B_K562	0.024674669	0.033207413	1.038646	0.025628246
13	SLTM_HepG2	0.015876874	0.04560839	1.0303121	0.016358135
14	EIF3D_HepG2	2.9019634e-07	6.785318e-07	0.9909524	2.8757074e-07
15	DROSHA_HepG2	7.5581575e-08	1.8813543e-07	0.9870204	7.460056e-08
16	PRPF4_HepG2	4.2860783e-08	1.033744e-07	0.98708594	4.2307278e-08
17	SRSF9_HepG2	1.4030947e-08	2.8820864e-08	0.9856209	1.3829195e-08
18	GEMIN5_K562	9.999924e-09	2.0680705e-08	0.9861463	9.861388e-09
19	SRSF1_HepG2	9.851144e-09	1.1415289e-08	0.98329324	9.6865636e-09
20	G3BP1_HepG2	8.478831e-09	8.235277e-09	0.9850924	8.352432e-09
21	XRCC6_K562	7.834355e-09	1.3676226e-08	0.98739314	7.735589e-09
22	POLR2G_HepG2	6.4492847e-09	8.976211e-09	0.9866518	6.363198e-09
23	AKAP1_K562	5.688086e-09	9.150303e-09	0.98539793	5.605028e-09
24	U2AF1_HepG2	5.3343365e-09	9.142094e-09	0.9858282	5.2587397e-09
25	HNRNPM_K562	4.2151664e-09	6.1024616e-09	0.98886144	4.1682156e-09
26	FXR1_K562	4.0620396e-09	5.6514082e-09	0.98711413	4.0096966e-09
27	STAU2_HepG2	3.7567065e-09	5.8868714e-09	0.98670477	3.7067602e-09
28	FMR1_K562	3.5890004e-09	4.984452e-09	0.98927957	3.5505248e-09
29	FXR2_HepG2	3.3272531e-09	5.155741e-09	0.98660433	3.2826823e-09
30	UCHL5_HepG2	3.2518408e-09	4.434633e-09	0.98842037	3.2141856e-09
31	RPS3_HepG2	3.2343694e-09	5.592699e-09	0.98817146	3.1961116e-09
32	SRSF1_K562	3.2342213e-09	5.203714e-09	0.98786366	3.1949696e-09
33	IGF2BP2_K562	3.0505936e-09	3.214813e-09	0.99023044	3.0207905e-09
34	AGGF1_HepG2	2.842316e-09	6.806786e-09	0.98422724	2.7974847e-09
35	EIF3H_HepG2	2.690402e-09	3.725168e-09	0.98870283	2.660008e-09
