protein	phase_rad	mean_alpha
XPO5_HepG2	0.0	1.5264057e-09
XRCC6_HepG2	0.0	2.037061e-09
XRCC6_K562	0.0	1.8108591e-09
XRN2_HepG2	0.0	1.0512589e-09
XRN2_K562	0.0	8.5795315e-10
YBX3_HepG2	0.0	1.2623564e-08
YBX3_K562	0.0	0.12928973
YWHAG_K562	0.0	7.382292e-10
ZC3H11A_HepG2	0.0	8.0052975e-10
AATF_K562	0.0	8.8551694e-10
ABCF1_K562	0.0	8.5780666e-10
AGGF1_HepG2	0.0	2.1968456e-09
AGGF1_K562	0.0	1.0722967e-09
AKAP1_HepG2	0.0	3.163221e-09
AKAP1_K562	0.0	6.5502206e-08
AKAP8L_K562	0.0	6.4782796e-10
CPEB4_K562	0.0	7.9253215e-10
CPSF6_K562	0.0	1.5478526e-09
CSTF2_HepG2	0.0	1.6046449e-09
CSTF2T_HepG2	0.0	1.5350553e-09
CSTF2T_K562	0.0	7.2446995e-09
DDX21_K562	0.0	7.911496e-10
DDX24_K562	0.0	1.2453092e-09
DDX3X_HepG2	0.0	7.399235e-10
DDX3X_K562	0.0	8.8482e-08
DDX42_K562	0.0	1.1638495e-09
DDX51_K562	0.0	6.5216094e-10
DDX52_HepG2	0.0	7.264919e-10
DDX52_K562	0.0	9.836759e-10
DDX55_HepG2	0.0	0.10122741
DDX55_K562	0.0	5.8266685e-09
DDX59_HepG2	0.0	7.236467e-10
DDX6_HepG2	0.0	8.3682505e-10
DDX6_K562	0.0	2.4668452e-09
DGCR8_HepG2	0.0	1.0254501e-08
DGCR8_K562	0.0	0.077243686
DHX30_HepG2	0.0	3.7584294e-10
DHX30_K562	0.0	9.473107e-10
DKC1_HepG2	0.0	9.505248e-10
DROSHA_HepG2	0.0	3.9868224e-09
DROSHA_K562	0.0	1.0656063e-09
EFTUD2_HepG2	0.0	7.205653e-10
EFTUD2_K562	0.0	6.3729055e-10
EIF3D_HepG2	0.0	1.5328734e-09
EIF3G_K562	0.0	5.783593e-10
EIF3H_HepG2	0.0	1.5867441e-09
EIF4G2_K562	0.0	1.5765497e-09
EWSR1_K562	0.0	1.7039462e-09
EXOSC5_HepG2	0.0	0.036193825
EXOSC5_K562	0.0	9.99835e-10
FAM120A_HepG2	0.0	1.2700792e-09
FAM120A_K562	0.0	1.0561612e-09
FASTKD2_HepG2	0.0	1.5487601e-09
FASTKD2_K562	0.0	7.707113e-10
FKBP4_HepG2	0.0	8.3587126e-10
FMR1_K562	0.0	2.0466233e-09
FTO_HepG2	0.0	0.021875184
FTO_K562	0.0	1.1234124e-09
FUBP3_HepG2	0.0	1.5548467e-09
FUS_HepG2	0.0	2.4144757e-09
FUS_K562	0.0	1.0665706e-09
FXR1_K562	0.0	1.0836335e-09
FXR2_HepG2	0.0	1.3848813e-09
FXR2_K562	0.0	6.740312e-10
G3BP1_HepG2	0.0	0.028987996
GEMIN5_K562	0.0	4.6170437e-10
GNL3_K562	0.0	7.3522993e-10
GPKOW_K562	0.0	5.5465177e-10
GRSF1_HepG2	0.0	9.704215e-10
GRWD1_HepG2	0.0	0.11473779
GRWD1_K562	0.0	4.0579422e-08
GTF2F1_HepG2	0.0	1.3900645e-09
GTF2F1_K562	0.0	7.0952283e-10
HLTF_HepG2	0.0	7.89309e-09
HLTF_K562	0.0	2.2780953e-09
HNRNPA1_HepG2	0.0	5.160575e-09
HNRNPA1_K562	0.0	1.3362388e-08
HNRNPC_HepG2	0.0	1.3688706e-09
HNRNPC_K562	0.0	2.2652342e-09
HNRNPK_HepG2	0.0	8.440828e-10
HNRNPK_K562	0.0	1.2986504e-09
HNRNPL_HepG2	0.0	4.4183643e-10
HNRNPL_K562	0.0	1.3072766e-09
HNRNPM_HepG2	0.0	8.768214e-09
HNRNPM_K562	0.0	9.675617e-10
HNRNPU_HepG2	0.0	0.014156156
HNRNPU_K562	0.0	9.047451e-10
HNRNPUL1_HepG2	0.0	1.3544444e-09
HNRNPUL1_K562	0.0	2.6512021e-09
IGF2BP1_HepG2	0.0	3.1225453e-09
IGF2BP1_K562	0.0	0.00078492245
IGF2BP2_K562	0.0	1.12014924e-07
IGF2BP3_HepG2	0.0	1.3292522e-09
ILF3_HepG2	0.0	0.13762945
ILF3_K562	0.0	0.005046991
KHDRBS1_K562	0.0	1.298109e-09
KHSRP_HepG2	0.0	5.296166e-09
KHSRP_K562	0.0	1.5598913e-09
LARP4_HepG2	0.0	3.3563246e-09
LARP4_K562	0.0	5.724663e-10
LARP7_HepG2	0.0	7.7246026e-10
LARP7_K562	0.0	5.2069443e-10
LIN28B_HepG2	0.0	9.5557596e-08
LIN28B_K562	0.0	0.0036810737
LSM11_HepG2	0.0	3.139365e-08
LSM11_K562	0.0	0.022851737
MATR3_HepG2	0.0	1.3184648e-09
MATR3_K562	0.0	1.7789806e-09
METAP2_K562	0.0	9.532468e-10
MTPAP_K562	0.0	1.4297773e-09
NCBP2_HepG2	0.0	1.1685726e-09
NCBP2_K562	0.0	9.706952e-10
NIP7_HepG2	0.0	7.2579504e-10
NIPBL_K562	0.0	2.9389875e-09
NKRF_HepG2	0.0	1.1762608e-09
NOL12_HepG2	0.0	6.304624e-10
NOLC1_HepG2	0.0	5.2881194e-10
NOLC1_K562	0.0	1.0935176e-09
NONO_K562	0.0	0.06256411
NPM1_K562	0.0	6.633028e-10
NSUN2_K562	0.0	7.93101e-10
PABPC4_K562	0.0	1.1786056e-08
PABPN1_HepG2	0.0	0.013959658
PCBP1_HepG2	0.0	8.105269e-09
PCBP1_K562	0.0	1.0521786e-09
PCBP2_HepG2	0.0	5.9713084e-10
PHF6_K562	0.0	6.0919886e-10
POLR2G_HepG2	0.0	2.932907e-09
PPIG_HepG2	0.0	6.839439e-08
PPIL4_K562	0.0	2.5176874e-09
PRPF4_HepG2	0.0	1.8417419e-09
PRPF8_HepG2	0.0	7.596645e-10
PRPF8_K562	0.0	1.6912967e-09
PTBP1_HepG2	0.0	1.0624676e-09
PTBP1_K562	0.0	7.787467e-10
PUM1_K562	0.0	1.3456373e-09
PUM2_K562	0.0	5.2820864e-10
PUS1_K562	0.0	8.729838e-10
QKI_HepG2	0.0	2.2705546e-09
QKI_K562	0.0	6.053809e-10
RBFOX2_HepG2	0.0	2.6572002e-09
RBFOX2_K562	0.0	1.0335138e-09
RBM15_HepG2	0.0	9.45513e-10
RBM15_K562	0.0	1.486296e-09
RBM22_HepG2	0.0	1.0326564e-09
RBM22_K562	0.0	8.316084e-10
RBM5_HepG2	0.0	5.9825866e-10
RPS11_K562	0.0	1.0253959e-09
RPS3_HepG2	0.0	8.9588126e-10
RPS3_K562	0.0	4.858308e-10
SAFB_HepG2	0.0	2.5635618e-09
SAFB_K562	0.0	4.7284e-09
SAFB2_K562	0.0	3.3466543e-09
SBDS_K562	0.0	1.2206994e-09
SDAD1_HepG2	0.0	1.6417444e-09
SDAD1_K562	0.0	3.6470169e-10
SERBP1_K562	0.0	1.2945381e-09
SF3A3_HepG2	0.0	3.1786138e-10
SF3B1_K562	0.0	9.1044566e-10
SF3B4_HepG2	0.0	3.4682177e-10
SF3B4_K562	0.0	1.0261623e-09
SFPQ_HepG2	0.0	6.8225687e-09
SLBP_K562	0.0	2.297743e-09
SLTM_HepG2	0.0	1.1304149e-09
SLTM_K562	0.0	9.062847e-09
SMNDC1_HepG2	0.0	4.967108e-10
SMNDC1_K562	0.0	9.934708e-10
SND1_HepG2	0.0	0.0384998
SND1_K562	0.0	2.9750946e-09
SRSF1_HepG2	0.0	1.339536e-08
SRSF1_K562	0.0	1.3662487e-09
SRSF7_HepG2	0.0	0.06150222
SRSF7_K562	0.0	3.259853e-09
SRSF9_HepG2	0.0	2.799005e-09
SSB_HepG2	0.0	8.9253915e-10
SSB_K562	0.0	9.010596e-10
STAU2_HepG2	0.0	2.2088236e-09
SUB1_HepG2	0.0	2.973534e-09
SUGP2_HepG2	0.0	1.1489298e-08
SUPV3L1_HepG2	0.0	6.1624456e-10
