rbp_ct	rbp	ct
AARS_K562	AARS	K562
AATF_K562	AATF	K562
ABCF1_K562	ABCF1	K562
AGGF1_HepG2	AGGF1	HepG2
AGGF1_K562	AGGF1	K562
AKAP1_HepG2	AKAP1	HepG2
AKAP1_K562	AKAP1	K562
AKAP8L_K562	AKAP8L	K562
APOBEC3C_K562	APOBEC3C	K562
AQR_HepG2	AQR	HepG2
AQR_K562	AQR	K562
BCCIP_HepG2	BCCIP	HepG2
BCLAF1_HepG2	BCLAF1	HepG2
BUD13_HepG2	BUD13	HepG2
BUD13_K562	BUD13	K562
CDC40_HepG2	CDC40	HepG2
CPEB4_K562	CPEB4	K562
CPSF6_K562	CPSF6	K562
CSTF2_HepG2	CSTF2	HepG2
CSTF2T_HepG2	CSTF2T	HepG2
CSTF2T_K562	CSTF2T	K562
DDX21_K562	DDX21	K562
DDX24_K562	DDX24	K562
DDX3X_HepG2	DDX3X	HepG2
DDX3X_K562	DDX3X	K562
DDX42_K562	DDX42	K562
DDX51_K562	DDX51	K562
DDX52_HepG2	DDX52	HepG2
DDX52_K562	DDX52	K562
DDX55_HepG2	DDX55	HepG2
DDX55_K562	DDX55	K562
DDX59_HepG2	DDX59	HepG2
DDX6_HepG2	DDX6	HepG2
DDX6_K562	DDX6	K562
DGCR8_HepG2	DGCR8	HepG2
DGCR8_K562	DGCR8	K562
DHX30_HepG2	DHX30	HepG2
DHX30_K562	DHX30	K562
DKC1_HepG2	DKC1	HepG2
DROSHA_HepG2	DROSHA	HepG2
DROSHA_K562	DROSHA	K562
EFTUD2_HepG2	EFTUD2	HepG2
EFTUD2_K562	EFTUD2	K562
EIF3D_HepG2	EIF3D	HepG2
EIF3G_K562	EIF3G	K562
EIF3H_HepG2	EIF3H	HepG2
EIF4G2_K562	EIF4G2	K562
EWSR1_K562	EWSR1	K562
EXOSC5_HepG2	EXOSC5	HepG2
EXOSC5_K562	EXOSC5	K562
FAM120A_HepG2	FAM120A	HepG2
FAM120A_K562	FAM120A	K562
FASTKD2_HepG2	FASTKD2	HepG2
FASTKD2_K562	FASTKD2	K562
FKBP4_HepG2	FKBP4	HepG2
FMR1_K562	FMR1	K562
FTO_HepG2	FTO	HepG2
FTO_K562	FTO	K562
FUBP3_HepG2	FUBP3	HepG2
FUS_HepG2	FUS	HepG2
FUS_K562	FUS	K562
FXR1_K562	FXR1	K562
FXR2_HepG2	FXR2	HepG2
FXR2_K562	FXR2	K562
G3BP1_HepG2	G3BP1	HepG2
GEMIN5_K562	GEMIN5	K562
GNL3_K562	GNL3	K562
GPKOW_K562	GPKOW	K562
GRSF1_HepG2	GRSF1	HepG2
GRWD1_HepG2	GRWD1	HepG2
GRWD1_K562	GRWD1	K562
GTF2F1_HepG2	GTF2F1	HepG2
GTF2F1_K562	GTF2F1	K562
HLTF_HepG2	HLTF	HepG2
HLTF_K562	HLTF	K562
HNRNPA1_HepG2	HNRNPA1	HepG2
HNRNPA1_K562	HNRNPA1	K562
HNRNPC_HepG2	HNRNPC	HepG2
HNRNPC_K562	HNRNPC	K562
HNRNPK_HepG2	HNRNPK	HepG2
HNRNPK_K562	HNRNPK	K562
HNRNPL_HepG2	HNRNPL	HepG2
HNRNPL_K562	HNRNPL	K562
HNRNPM_HepG2	HNRNPM	HepG2
