rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,YBX3_K562,0.21609393,0.107630394,1.1792437,0.2548274
2,GRWD1_HepG2,0.18675831,0.10154464,1.1424625,0.21336436
3,POLR2G_HepG2,0.15424466,0.30659473,0.93936205,0.14489157
4,SUGP2_HepG2,0.15255576,0.14788201,1.1546221,0.17614426
5,UPF1_HepG2,0.11330581,0.11348032,1.1887854,0.13469629
6,PABPN1_HepG2,0.11288235,0.060323335,1.1816102,0.13338295
7,G3BP1_HepG2,0.11117595,0.08463337,1.1357815,0.12627159
8,DDX3X_K562,0.103254795,0.07908157,1.1321815,0.11690317
9,SND1_HepG2,0.09460238,0.0677996,1.0858413,0.102723174
10,DGCR8_K562,0.091180414,0.0550792,1.0923722,0.099602945
11,SRSF1_HepG2,0.0672074,0.046731662,1.101908,0.07405637
12,HNRNPM_HepG2,0.04598134,0.049977716,1.0813729,0.049722973
13,STAU2_HepG2,0.045671247,0.0901566,1.1087714,0.050638974
14,PRPF8_K562,0.04487647,0.038718756,1.1361066,0.050984457
15,EXOSC5_HepG2,0.04423405,0.050238848,1.1225274,0.04965393
16,NONO_K562,0.036629815,0.07427657,1.1062355,0.0405212
17,SRSF9_HepG2,0.035524316,0.08347316,1.0555898,0.037499107
18,HLTF_K562,0.034580324,0.047306728,1.0965108,0.037917696
19,ZNF622_K562,0.03258393,0.06462736,1.078378,0.03513779
20,SND1_K562,0.02101563,0.030760698,1.1842837,0.024888467
21,BCLAF1_HepG2,0.009563687,0.023186339,1.0563909,0.010102992
22,ILF3_HepG2,0.009535879,0.024482055,1.0558704,0.010068652
23,NIP7_HepG2,0.0037510006,0.007274493,1.0635306,0.003989304
24,KHSRP_K562,0.0025416745,0.009871704,1.0348068,0.0026301423
25,PPIG_HepG2,0.0010673731,0.0022075353,1.0393612,0.0011093862
26,AKAP1_K562,0.0006425506,0.0024456894,1.0523187,0.000676168
27,LIN28B_K562,4.6231144e-06,1.17327545e-05,1.0066472,4.6538453e-06
28,EIF3H_HepG2,1.632465e-06,1.4846366e-06,1.0427165,1.7021982e-06
29,HNRNPC_K562,3.021238e-07,5.196566e-07,1.0424471,3.1494807e-07
30,YBX3_HepG2,2.8701274e-07,4.1417903e-07,1.01175,2.9038515e-07
31,XPO5_HepG2,1.2131318e-07,1.8679638e-07,0.9897617,1.2007114e-07
32,LSM11_K562,1.2104528e-07,3.4133572e-07,0.9905133,1.1989695e-07
33,LIN28B_HepG2,8.091977e-08,1.4968721e-07,0.98152405,7.94247e-08
34,GRWD1_K562,7.4740655e-08,1.6831659e-07,0.9901977,7.400803e-08
35,IGF2BP1_K562,7.149849e-08,1.3765441e-07,0.9904015,7.081221e-08
36,UCHL5_HepG2,4.6248445e-08,7.479833e-08,0.99129605,4.58459e-08
37,FTO_HepG2,4.6226603e-08,7.227569e-08,0.9918671,4.5850648e-08
38,HNRNPU_HepG2,4.380685e-08,5.1319663e-08,0.9924566,4.3476398e-08
39,ILF3_K562,4.129258e-08,8.367462e-08,0.9873933,4.077202e-08
40,U2AF1_HepG2,3.4450448e-08,4.3015156e-08,0.9910278,3.414135e-08
41,LSM11_HepG2,3.341779e-08,4.6139085e-08,0.9918367,3.3144993e-08
42,IGF2BP2_K562,3.3352546e-08,4.2967894e-08,0.9939363,3.3150307e-08
43,SLTM_K562,2.7063402e-08,4.5492843e-08,0.99247235,2.6859679e-08
44,HNRNPM_K562,2.5823256e-08,3.6725805e-08,0.9890603,2.5540757e-08
45,FXR2_HepG2,2.5381073e-08,3.1627728e-08,0.99220973,2.5183349e-08
46,RBM15_K562,2.5113449e-08,2.6054735e-08,0.98990434,2.4859913e-08
47,IGF2BP1_HepG2,2.5033746e-08,3.8086778e-08,0.9901491,2.478714e-08
48,HNRNPC_HepG2,2.4018128e-08,3.7590024e-08,0.98696935,2.3705157e-08
49,FXR1_K562,2.327454e-08,2.8716213e-08,1.0040832,2.3369573e-08
50,HLTF_HepG2,2.2914142e-08,3.0990872e-08,0.9913387,2.2715675e-08
51,SLTM_HepG2,2.2819323e-08,3.5987053e-08,0.9906757,2.260655e-08
52,DGCR8_HepG2,2.2546203e-08,3.0847684e-08,0.9909849,2.2342947e-08
53,FUBP3_HepG2,1.8793587e-08,2.4960881e-08,0.99043065,1.8613745e-08
54,FASTKD2_HepG2,1.8127654e-08,2.5358103e-08,0.9922844,1.7987789e-08
55,AKAP1_HepG2,1.8110626e-08,2.385562e-08,0.9914198,1.7955234e-08
56,HNRNPUL1_K562,1.7405021e-08,2.7144901e-08,0.98870975,1.7208514e-08
57,TARDBP_K562,1.7077488e-08,3.0284603e-08,0.9880449,1.6873326e-08
58,XRCC6_HepG2,1.6771743e-08,2.4933442e-08,0.99022305,1.6607766e-08
59,DDX55_HepG2,1.6769595e-08,2.2750795e-08,0.99301934,1.6652534e-08
60,ZNF800_HepG2,1.6706059e-08,2.3363414e-08,0.99415535,1.6608418e-08
61,U2AF2_HepG2,1.5737415e-08,2.3705645e-08,0.9896595,1.5574683e-08
62,KHSRP_HepG2,1.5585533e-08,2.0031123e-08,0.9844712,1.5343508e-08
63,NCBP2_HepG2,1.5300724e-08,2.002438e-08,0.99224234,1.5182026e-08
64,FXR2_K562,1.5292631e-08,1.9808652e-08,0.99322045,1.5188954e-08
65,QKI_HepG2,1.4297961e-08,1.645921e-08,0.9864421,1.4104111e-08
66,IGF2BP3_HepG2,1.4175221e-08,2.028387e-08,0.99223727,1.4065183e-08
67,EIF4G2_K562,1.3748204e-08,1.6090148e-08,0.9880991,1.3584589e-08
68,SRSF1_K562,1.36498e-08,1.6986792e-08,0.9922625,1.3544184e-08
69,XRCC6_K562,1.355467e-08,2.3895192e-08,0.9888382,1.3403375e-08
70,HNRNPUL1_HepG2,1.3443062e-08,1.7817964e-08,0.9897932,1.3305851e-08
71,LARP7_K562,1.3353945e-08,1.4483864e-08,0.99096155,1.3233246e-08
72,DDX55_K562,1.3210996e-08,1.8865222e-08,0.9921969,1.3107909e-08
73,EWSR1_K562,1.2816452e-08,1.6607551e-08,0.98642963,1.2642528e-08
74,SAFB_K562,1.2768334e-08,1.8334392e-08,0.99003524,1.2641101e-08
75,ABCF1_K562,1.26582815e-08,1.6541604e-08,0.99285907,1.256789e-08
76,TAF15_HepG2,1.2621482e-08,1.5657196e-08,0.98999494,1.2495203e-08
77,CPSF6_K562,1.2403401e-08,1.4134447e-08,0.9902089,1.2281959e-08
78,U2AF2_K562,1.2147137e-08,1.7981906e-08,0.9890416,1.20140236e-08
79,CSTF2T_K562,1.2126866e-08,1.8348945e-08,0.9883403,1.198547e-08
80,UPF1_K562,1.208482e-08,1.5961515e-08,0.98824364,1.1942746e-08
81,NKRF_HepG2,1.1820369e-08,1.2789737e-08,0.9886878,1.1686654e-08
82,SRSF7_K562,1.1794548e-08,1.463335e-08,0.99369705,1.1720207e-08
83,UCHL5_K562,1.1765973e-08,1.5374383e-08,0.9910212,1.1660329e-08
84,ZNF800_K562,1.1680958e-08,1.3053052e-08,0.9916229,1.1583106e-08
85,RPS3_HepG2,1.1602841e-08,1.2279456e-08,0.9932636,1.152468e-08
86,RBFOX2_HepG2,1.1571181e-08,1.5027949e-08,0.98332256,1.1378203e-08
87,FAM120A_HepG2,1.146623e-08,1.8962245e-08,0.9890175,1.1340302e-08
88,EIF3D_HepG2,1.11748335e-08,1.336627e-08,0.991697,1.1082049e-08
89,TRA2A_HepG2,1.1047421e-08,1.5233516e-08,0.9923364,1.0962758e-08
90,MATR3_K562,1.0767135e-08,1.4919179e-08,0.9886823,1.0645276e-08
