rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,HNRNPU_HepG2,0.12857613,0.03867317,1.1206248,0.1440856
2,GRWD1_HepG2,0.11911827,0.08521639,1.1042672,0.1315384
3,DGCR8_K562,0.08711126,0.02252573,1.0912403,0.09505931
4,LARP7_K562,0.07045802,0.029267306,1.0977428,0.07734478
5,SUGP2_HepG2,0.06084422,0.055293765,1.1030955,0.06711699
6,DDX55_HepG2,0.049932197,0.016310364,1.0803815,0.05394582
7,NONO_K562,0.04483655,0.061672196,1.1142215,0.049957845
8,LIN28B_K562,0.04369968,0.013379595,1.0607817,0.046355825
9,RBM22_K562,0.04120805,0.012442252,1.1062933,0.04558819
10,BCLAF1_HepG2,0.03675239,0.009971316,1.0901769,0.04006661
11,SND1_HepG2,0.03591617,0.014731447,1.0365103,0.03722748
12,ILF3_K562,0.03370417,0.04706498,1.0631301,0.035831917
13,FTO_HepG2,0.031564914,0.011370002,1.0381923,0.03277045
14,EIF3H_HepG2,0.028971326,0.0231484,0.9959396,0.02885369
15,HNRNPM_HepG2,0.028163657,0.018121677,1.0594583,0.02983822
16,IGF2BP1_K562,0.027732803,0.008407629,1.1191498,0.031037161
17,FMR1_K562,0.024570948,0.01333863,1.0080338,0.024768345
18,HNRNPC_HepG2,0.01670031,0.02787522,1.0467349,0.017480798
19,AKAP1_HepG2,0.016050573,0.03838553,1.0905559,0.017504048
20,YBX3_K562,0.014075391,0.0060891267,1.0047773,0.014142633
21,ZNF622_K562,0.011451196,0.006098393,1.0130874,0.0116010625
22,HNRNPUL1_K562,0.008265879,0.020645864,1.0815505,0.008939966
23,QKI_HepG2,0.0061535197,0.017231228,1.0726113,0.006600335
24,POLR2G_HepG2,0.005762232,0.01675545,1.050512,0.0060532936
25,STAU2_HepG2,0.0050612176,0.0032126354,1.0548977,0.0053390665
26,UPF1_K562,0.0050005605,0.010917658,1.0171701,0.0050864206
27,DDX3X_K562,0.004212386,0.0046224953,1.0439324,0.0043974463
28,EWSR1_K562,0.0018204382,0.0052722488,1.0329398,0.001880403
29,KHSRP_HepG2,0.0016071378,0.0048548523,1.0467911,0.0016823376
30,AKAP1_K562,0.00088680803,0.002327987,1.0174543,0.0009022866
31,FUBP3_HepG2,0.0008660966,0.0011792721,1.0536406,0.0009125545
32,GRWD1_K562,0.00079969026,0.0015157459,1.073343,0.000858342
33,DHX30_K562,0.0007355913,0.0010866128,0.9952288,0.00073208165
34,PUM1_K562,0.0007330946,0.001202161,0.99165505,0.00072697696
35,AGGF1_K562,0.00072134356,0.00172046,1.0337929,0.0007457198
36,SERBP1_K562,0.00071487925,0.0010663933,0.9665451,0.00069096306
37,SLTM_HepG2,0.0006699917,0.00091291044,1.042555,0.0006985032
38,UTP18_HepG2,0.0006406257,0.0009736298,1.012669,0.0006487418
39,PPIG_HepG2,0.0006391875,0.00079477875,1.0287147,0.00065754156
40,RBM5_HepG2,0.000606728,0.0009502314,1.0272481,0.0006232602
41,ZC3H11A_K562,0.00059694855,0.0017292205,1.0278865,0.00061359536
42,PUM2_K562,0.0005395496,0.0009602295,1.0392324,0.0005607174
43,HNRNPA1_K562,0.0003737076,0.0005519022,1.0423932,0.00038955026
44,TRA2A_K562,0.00033850226,0.0004833655,1.0157427,0.00034383117
45,SLBP_K562,0.00033504353,0.00047322802,1.0308852,0.00034539143
46,DDX52_K562,0.00030683124,0.0009172498,1.0095439,0.0003097596
47,TBRG4_K562,0.00029760433,0.0007842616,1.0203742,0.00030366777
48,SBDS_K562,0.00028172942,0.0006954432,1.0042022,0.0002829133
49,UTP3_K562,0.00026463193,0.00044382774,1.0354894,0.00027402356
50,MATR3_HepG2,0.0002471657,0.0006189693,1.0057211,0.00024857977
51,SSB_K562,0.00021890685,0.00031611882,1.0179293,0.0002228317
52,DDX42_K562,0.00021875993,0.00037192082,0.9657503,0.00021126747
53,PTBP1_K562,0.00020583217,0.000114479604,1.0269268,0.00021137456
54,ZRANB2_K562,0.00019785593,0.00030551187,0.99708927,0.00019728002
55,SAFB_HepG2,0.00018727516,0.00027644663,1.0354601,0.00019391596
56,YBX3_HepG2,0.00017678851,0.00011508163,1.0115734,0.00017883455
57,BCCIP_HepG2,0.00016974092,0.00023892811,0.97845566,0.00016608396
58,SRSF1_HepG2,0.00016159545,0.00027286945,0.97500867,0.00015755696
59,GEMIN5_K562,0.00015793805,0.00033685876,1.0080458,0.00015920878
60,PHF6_K562,0.00015676099,0.00022832942,1.0146428,0.0001590564
61,RBFOX2_HepG2,0.00014828722,0.00021234204,0.98366565,0.00014586504
62,GNL3_K562,0.00011649757,0.0001793257,1.0296549,0.00011995229
63,IGF2BP1_HepG2,0.000112805625,0.00016141485,1.0035355,0.00011320445
64,NSUN2_K562,0.00010813018,6.0761864e-05,1.0013645,0.00010827772
65,NOLC1_HepG2,0.000106225714,0.00016265702,0.98690397,0.00010483458
66,PRPF8_HepG2,0.00010098515,0.00010154368,1.006501,0.00010164165
67,EXOSC5_K562,9.51881e-05,0.00012645345,1.0142181,9.6541495e-05
68,HLTF_K562,8.895731e-05,0.00015770618,1.0480204,9.322908e-05
69,PRPF4_HepG2,8.711296e-05,0.00016357262,1.0470414,9.121087e-05
70,DDX21_K562,8.635248e-05,0.00014136088,1.0027578,8.659062e-05
71,AATF_K562,8.493523e-05,0.00012421118,1.0153799,8.6241525e-05
72,FASTKD2_K562,8.0450016e-05,0.00015179753,1.0095932,8.122179e-05
73,UCHL5_K562,7.245862e-05,9.704219e-05,1.0140213,7.3474584e-05
74,DDX24_K562,6.811767e-05,0.00014025786,1.0139234,6.9066096e-05
75,HNRNPK_HepG2,6.767276e-05,0.00010580746,1.0148752,6.86794e-05
76,EIF4G2_K562,5.937574e-05,9.147433e-05,0.99364746,5.8998554e-05
77,SUB1_HepG2,5.404538e-05,9.096465e-05,0.9889148,5.3446274e-05
78,NOLC1_K562,5.2523883e-05,7.422079e-05,1.0153005,5.3327527e-05
79,XRN2_K562,5.0228173e-05,7.257167e-05,1.0075469,5.060724e-05
80,RPS3_HepG2,4.9651455e-05,7.749162e-05,1.0169103,5.0491075e-05
81,TRA2A_HepG2,4.894761e-05,7.220071e-05,1.0002577,4.8960228e-05
82,NKRF_HepG2,4.6370034e-05,0.00012510107,0.99041027,4.5925357e-05
83,EIF3G_K562,4.0755338e-05,6.8804926e-05,1.0031176,4.0882394e-05
84,TARDBP_K562,3.9340743e-05,6.0581864e-05,0.9795489,3.853618e-05
85,CPSF6_K562,3.7595568e-05,5.078303e-05,0.9962305,3.745385e-05
86,XPO5_HepG2,3.7366906e-05,6.6938876e-05,0.9862334,3.6852492e-05
87,XRCC6_K562,3.6793197e-05,5.0750274e-05,1.0070583,3.7052894e-05
88,WDR43_HepG2,3.3876102e-05,5.4810764e-05,1.0105796,3.4234497e-05
89,RBM15_K562,3.3481225e-05,5.7471694e-05,0.9957822,3.334001e-05
90,HNRNPU_K562,3.3030006e-05,5.1108105e-05,0.998314,3.297432e-05
91,ILF3_HepG2,3.2612625e-05,6.33018e-05,1.0013386,3.265628e-05
92,ABCF1_K562,3.1684125e-05,4.6415767e-05,1.0214455,3.236361e-05
93,DKC1_HepG2,3.103349e-05,4.2995547e-05,0.996211,3.0915904e-05
94,YWHAG_K562,3.059602e-05,4.7449696e-05,1.0066738,3.0800213e-05
95,NIP7_HepG2,2.7933107e-05,2.8646435e-05,1.0116926,2.825972e-05
96,AQR_K562,2.6926804e-05,4.4808978e-05,1.0020391,2.698171e-05
97,RBM22_HepG2,2.5101972e-05,3.8322614e-05,0.9952533,2.498282e-05
