rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,NOLC1_HepG2,0.32674444,0.036510434,1.2419274,0.40579286
2,YBX3_HepG2,0.22824885,0.020708254,1.2046871,0.27496845
3,IGF2BP1_HepG2,0.056794066,0.012897,1.24716,0.070831284
4,PRPF8_K562,0.05482405,0.01100553,1.266244,0.06942063
5,NSUN2_K562,0.049945496,0.015950698,1.1075488,0.055317074
6,SUGP2_HepG2,0.045411788,0.012257595,1.2308652,0.05589579
7,SSB_HepG2,0.03912823,0.009575768,1.1320233,0.044294067
8,ILF3_HepG2,0.03412608,0.015650151,1.3096709,0.044693936
9,GRWD1_K562,0.029320601,0.011986169,1.230032,0.036065277
10,YBX3_K562,0.02162065,0.008274183,1.2190746,0.026357185
11,PABPN1_HepG2,0.020861847,0.0072192387,1.3044934,0.027214143
12,SRSF1_HepG2,0.018888757,0.006870111,1.1627871,0.021963602
13,MATR3_K562,0.012589793,0.0028581417,1.1068451,0.013934951
14,DDX3X_K562,0.009645745,0.0043517193,1.1314276,0.010913462
15,G3BP1_HepG2,0.009130404,0.0038262696,0.4426861,0.004041903
16,FTO_HepG2,0.008703186,0.0030390236,1.2198596,0.010616665
17,LIN28B_HepG2,0.006881163,0.002085632,1.0652245,0.0073299836
18,EXOSC5_HepG2,0.0049191252,0.0020097787,1.1381414,0.00559866
19,DKC1_HepG2,0.0038786023,0.0014243277,1.1193608,0.0043415553
20,WDR3_K562,0.0030557327,0.0013736837,1.2126338,0.0037054848
21,SERBP1_K562,0.0026805687,0.0013649977,1.1520734,0.0030882119
22,RBFOX2_HepG2,0.0024129301,0.00096048636,0.4959968,0.0011968056
23,DROSHA_K562,0.00071782916,0.0005213665,0.6041581,0.0004336823
24,PCBP1_HepG2,0.00014827627,6.698185e-05,1.0259112,0.00015211829
25,DROSHA_HepG2,2.2225384e-05,8.364243e-06,1.0409197,2.3134839e-05
26,PPIG_HepG2,1.4761284e-05,8.091223e-06,1.0410275,1.5366903e-05
27,FXR2_HepG2,3.0078477e-06,1.5857261e-06,1.0129485,3.0467947e-06
28,ZNF622_K562,1.8638422e-06,9.4529196e-07,1.0938022,2.0386747e-06
29,SUB1_HepG2,1.5242923e-06,8.354799e-07,1.0328444,1.5743568e-06
30,EIF3H_HepG2,7.825761e-07,4.5696677e-07,1.0268526,8.035903e-07
31,WDR43_HepG2,5.749934e-07,3.2431987e-07,1.0393232,5.97604e-07
