cos_delta_phi,protein_a,protein_b
0.073496364,DDX3X_K562,STAU2_HepG2
0.23594657,PABPN1_HepG2,STAU2_HepG2
0.45585257,DDX3X_K562,HNRNPC_HepG2
0.49979192,LIN28B_HepG2,STAU2_HepG2
0.5955576,HNRNPC_HepG2,PABPN1_HepG2
0.6202807,SRSF7_K562,STAU2_HepG2
0.62369436,STAU2_HepG2,SUB1_HepG2
0.62714213,LARP7_HepG2,STAU2_HepG2
0.62912124,DDX42_K562,STAU2_HepG2
0.6308572,DKC1_HepG2,STAU2_HepG2
0.63100946,HNRNPA1_K562,STAU2_HepG2
0.63122684,STAU2_HepG2,U2AF2_K562
0.6314587,SERBP1_K562,STAU2_HepG2
0.63154006,STAU2_HepG2,WDR43_K562
0.63157845,FXR2_K562,STAU2_HepG2
0.6316296,STAU2_HepG2,TRA2A_HepG2
0.63176435,EXOSC5_HepG2,STAU2_HepG2
0.63180935,STAU2_HepG2,XRN2_HepG2
0.63180953,IGF2BP1_HepG2,STAU2_HepG2
0.63180995,STAU2_HepG2,TARDBP_K562
0.63182485,PTBP1_K562,STAU2_HepG2
0.6318473,HNRNPM_HepG2,STAU2_HepG2
0.63184756,AATF_K562,STAU2_HepG2
0.6318531,DGCR8_K562,STAU2_HepG2
0.6318562,PCBP1_K562,STAU2_HepG2
1.0,YWHAG_K562,ZNF622_K562
1.0,YWHAG_K562,ZNF800_HepG2
1.0,YWHAG_K562,ZNF800_K562
1.0,YWHAG_K562,ZRANB2_K562
1.0,ZC3H11A_HepG2,ZC3H11A_K562
1.0,ZC3H11A_HepG2,ZC3H8_K562
1.0,ZC3H11A_HepG2,ZNF622_K562
1.0,ZC3H11A_HepG2,ZNF800_HepG2
1.0,ZC3H11A_HepG2,ZNF800_K562
1.0,ZC3H11A_HepG2,ZRANB2_K562
1.0,ZC3H11A_K562,ZC3H8_K562
1.0,ZC3H11A_K562,ZNF622_K562
1.0,ZC3H11A_K562,ZNF800_HepG2
1.0,ZC3H11A_K562,ZNF800_K562
1.0,ZC3H11A_K562,ZRANB2_K562
1.0,ZC3H8_K562,ZNF622_K562
1.0,ZC3H8_K562,ZNF800_HepG2
1.0,ZC3H8_K562,ZNF800_K562
1.0,ZC3H8_K562,ZRANB2_K562
1.0,ZNF622_K562,ZNF800_HepG2
1.0,ZNF622_K562,ZNF800_K562
1.0,ZNF622_K562,ZRANB2_K562
1.0,ZNF800_HepG2,ZNF800_K562
1.0,ZNF800_HepG2,ZRANB2_K562
1.0,ZNF800_K562,ZRANB2_K562
