rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,STAU2_HepG2,0.21711643,0.043451503,1.0730084,0.23296776
2,PABPN1_HepG2,0.1240072,0.08377591,1.0332949,0.12813601
3,UPF1_HepG2,0.10713457,0.033521324,1.046876,0.11215661
4,LIN28B_HepG2,0.094478,0.023380212,1.0207341,0.09643692
5,DDX3X_K562,0.07294076,0.028574161,1.0173383,0.07420543
6,SRSF7_K562,0.06387577,0.024413086,1.023358,0.06536778
7,HNRNPC_HepG2,0.05688658,0.027828438,1.0240606,0.058255304
8,LARP7_K562,0.012375615,0.0040067406,1.0256085,0.012692536
9,SUB1_HepG2,0.0008019574,0.0009810164,1.0074073,0.0008078977
10,CPEB4_K562,0.0004299197,0.000638511,1.0047971,0.00043198204
11,LARP7_HepG2,0.00019723168,8.418759e-05,1.0060835,0.00019843155
12,RBM22_K562,4.4462235e-05,6.983538e-05,1.0003468,4.4477652e-05
13,DDX42_K562,3.4998917e-05,4.3351396e-05,0.9890483,3.461562e-05
14,SERBP1_K562,1.5635045e-05,6.415286e-06,0.99453795,1.5549645e-05
15,DKC1_HepG2,1.5625781e-05,1.0656013e-05,0.9967521,1.557503e-05
16,PTBP1_K562,1.3554703e-05,5.000961e-06,0.99854547,1.3534987e-05
17,TRA2A_HepG2,7.984271e-06,2.8515321e-06,0.99944484,7.979838e-06
18,NIP7_HepG2,6.263509e-06,2.3484572e-06,0.994193,6.227137e-06
19,HNRNPA1_K562,4.4266394e-06,3.3788358e-06,0.9887063,4.3766463e-06
20,AATF_K562,4.335406e-06,1.6204269e-06,0.99748456,4.324501e-06
21,EXOSC5_HepG2,3.0257208e-06,1.1189564e-06,0.9986999,3.021787e-06
22,FKBP4_HepG2,1.3151983e-06,5.0664283e-07,0.99145573,1.303961e-06
23,PCBP1_K562,1.2774453e-06,4.688677e-07,0.9963249,1.2727506e-06
24,U2AF2_K562,1.2639099e-06,1.0785411e-06,0.9967649,1.259821e-06
25,HNRNPA1_HepG2,1.0234966e-06,5.471547e-07,0.99631286,1.0197227e-06
26,TARDBP_K562,1.0100788e-06,5.1474115e-07,0.9951773,1.0052075e-06
27,RPS11_K562,9.4592605e-07,3.913971e-07,0.99378353,9.400457e-07
