cos_delta_phi,protein_a,protein_b
0.9999439,AKAP1_K562,SRSF7_HepG2
0.9999508,AARS_K562,AKAP1_K562
0.9999508,AATF_K562,AKAP1_K562
0.9999508,ABCF1_K562,AKAP1_K562
0.9999508,AGGF1_HepG2,AKAP1_K562
0.9999508,AGGF1_K562,AKAP1_K562
0.9999508,AKAP1_HepG2,AKAP1_K562
0.9999508,AKAP1_K562,AKAP8L_K562
0.9999508,AKAP1_K562,APOBEC3C_K562
0.9999508,AKAP1_K562,AQR_HepG2
0.9999508,AKAP1_K562,AQR_K562
0.9999508,AKAP1_K562,BCCIP_HepG2
0.9999508,AKAP1_K562,BUD13_HepG2
0.9999508,AKAP1_K562,BUD13_K562
0.9999508,AKAP1_K562,CDC40_HepG2
0.9999508,AKAP1_K562,CPEB4_K562
0.9999508,AKAP1_K562,CPSF6_K562
0.9999508,AKAP1_K562,CSTF2_HepG2
0.9999508,AKAP1_K562,CSTF2T_HepG2
0.9999508,AKAP1_K562,CSTF2T_K562
0.9999508,AKAP1_K562,DDX21_K562
0.9999508,AKAP1_K562,DDX24_K562
0.9999508,AKAP1_K562,DDX3X_HepG2
0.9999508,AKAP1_K562,DDX3X_K562
0.9999508,AKAP1_K562,DDX42_K562
1.0,YWHAG_K562,ZNF622_K562
1.0,YWHAG_K562,ZNF800_HepG2
1.0,YWHAG_K562,ZNF800_K562
1.0,YWHAG_K562,ZRANB2_K562
1.0,ZC3H11A_HepG2,ZC3H11A_K562
1.0,ZC3H11A_HepG2,ZC3H8_K562
1.0,ZC3H11A_HepG2,ZNF622_K562
1.0,ZC3H11A_HepG2,ZNF800_HepG2
1.0,ZC3H11A_HepG2,ZNF800_K562
1.0,ZC3H11A_HepG2,ZRANB2_K562
1.0,ZC3H11A_K562,ZC3H8_K562
1.0,ZC3H11A_K562,ZNF622_K562
1.0,ZC3H11A_K562,ZNF800_HepG2
1.0,ZC3H11A_K562,ZNF800_K562
1.0,ZC3H11A_K562,ZRANB2_K562
1.0,ZC3H8_K562,ZNF622_K562
1.0,ZC3H8_K562,ZNF800_HepG2
1.0,ZC3H8_K562,ZNF800_K562
1.0,ZC3H8_K562,ZRANB2_K562
1.0,ZNF622_K562,ZNF800_HepG2
1.0,ZNF622_K562,ZNF800_K562
1.0,ZNF622_K562,ZRANB2_K562
1.0,ZNF800_HepG2,ZNF800_K562
1.0,ZNF800_HepG2,ZRANB2_K562
1.0,ZNF800_K562,ZRANB2_K562
