rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,GRWD1_HepG2,0.2571116,0.23461331,0.8442033,0.21705447
2,YBX3_K562,0.14431038,0.07386439,0.9973344,0.14392571
3,DDX55_HepG2,0.12208735,0.08779268,0.98566586,0.12033734
4,HNRNPU_HepG2,0.11305972,0.07160925,1.0010232,0.1131754
5,ILF3_HepG2,0.08216327,0.16521047,0.88259715,0.07251707
6,DGCR8_K562,0.06812831,0.04001215,0.99561006,0.06782923
7,SRSF7_HepG2,0.0525315,0.043324016,0.9965738,0.052351516
8,BCLAF1_HepG2,0.050192535,0.06678512,0.96589273,0.048480604
9,NONO_K562,0.03473496,0.051098567,0.95596933,0.033205558
10,LSM11_K562,0.01980187,0.03426953,0.9929551,0.019662367
11,UPF1_HepG2,0.019156199,0.05512253,0.97166485,0.018613406
12,LIN28B_K562,0.01571032,0.016194703,1.0073347,0.015825551
13,AKAP1_K562,0.015075241,0.03065032,0.99516994,0.015002427
14,TARDBP_K562,0.0069518494,0.017556867,0.9885446,0.006872213
15,IGF2BP1_K562,4.3609713e-08,3.9451944e-08,0.98922783,4.313994e-08
16,ILF3_K562,3.3966112e-09,5.8853504e-09,0.99115026,3.3665521e-09
17,SFPQ_HepG2,1.876516e-09,2.5010174e-09,0.98781943,1.853659e-09
18,DGCR8_HepG2,1.711791e-09,4.7657083e-09,0.992886,1.6996133e-09
19,PABPC4_K562,1.6949229e-09,2.908936e-09,0.9914161,1.6803738e-09
20,SLTM_K562,1.58377e-09,5.1153717e-09,0.9941478,1.5745014e-09
21,LIN28B_HepG2,1.5733937e-09,2.881582e-09,0.9913322,1.5597559e-09
22,CSTF2T_K562,1.5004812e-09,2.977846e-09,0.99245584,1.4891613e-09
23,SUGP2_HepG2,1.2925684e-09,4.5483937e-09,0.9928924,1.2833813e-09
24,LSM11_HepG2,1.272924e-09,2.8786906e-09,0.99115044,1.2616592e-09
25,UCHL5_K562,1.0106466e-09,2.4531257e-09,0.9916325,1.00219e-09
26,HNRNPC_K562,9.410455e-10,1.7721223e-09,0.99204683,9.335611e-10
27,EXOSC5_HepG2,8.76899e-10,3.6957286e-09,0.9942018,8.7181456e-10
28,PABPN1_HepG2,8.61051e-10,2.1224733e-09,0.9925123,8.546037e-10
29,AKAP1_HepG2,8.395362e-10,4.0072625e-09,0.9932697,8.3388585e-10
30,TRA2A_K562,8.1072565e-10,3.2467389e-09,0.9940533,8.059045e-10
31,KHSRP_HepG2,8.000924e-10,2.4518627e-09,0.9905493,7.92531e-10
32,SAFB_HepG2,7.9994805e-10,2.069405e-09,0.9931059,7.9443313e-10
33,RBFOX2_HepG2,7.988358e-10,2.9935368e-09,0.991329,7.919091e-10
34,HNRNPM_HepG2,7.790258e-10,2.3838853e-09,0.9926552,7.7330403e-10
35,UPF1_K562,7.690676e-10,1.9337971e-09,0.9917736,7.627409e-10
36,HLTF_HepG2,7.6038564e-10,2.0862123e-09,0.9918598,7.5419593e-10
37,SAFB_K562,7.4749096e-10,2.7109606e-09,0.9930187,7.4227247e-10
38,ZNF622_K562,7.262603e-10,2.5249383e-09,0.99224627,7.2062906e-10
39,DDX55_K562,7.2374623e-10,2.6184488e-09,0.99212,7.180431e-10
40,HNRNPA1_K562,6.906725e-10,1.9227047e-09,0.9929366,6.8579403e-10
41,STAU2_HepG2,6.7702977e-10,2.3751061e-09,0.9919267,6.715639e-10
42,SAFB2_K562,6.731998e-10,3.464787e-09,0.9918065,6.676839e-10
43,SRSF7_K562,6.595241e-10,9.938705e-10,0.99287057,6.548221e-10
44,QKI_HepG2,6.5402544e-10,2.3494198e-09,0.9920026,6.4879496e-10
45,EWSR1_K562,6.501295e-10,2.7871174e-09,0.99143076,6.445584e-10
46,HNRNPK_K562,6.4549743e-10,2.5480622e-09,0.99156725,6.400541e-10
47,BCCIP_HepG2,6.405033e-10,3.3257186e-09,0.99229085,6.355656e-10
48,CSTF2T_HepG2,6.233351e-10,2.1433264e-09,0.99231327,6.185437e-10
49,MATR3_K562,5.8431665e-10,2.2934503e-09,0.99360675,5.8058097e-10
50,HNRNPC_HepG2,5.792069e-10,1.9853896e-09,0.9918282,5.7447375e-10
51,POLR2G_HepG2,5.7738864e-10,2.0520499e-09,0.99222124,5.728973e-10
52,SND1_K562,5.6775507e-10,1.4154777e-09,0.9925634,5.635329e-10
53,PPIL4_K562,5.676024e-10,2.24116e-09,0.99170417,5.628937e-10
54,HNRNPUL1_K562,5.671329e-10,3.3542271e-09,0.9928011,5.6305016e-10
55,XRCC6_HepG2,5.4345567e-10,2.6730682e-09,0.9931356,5.3972515e-10
56,YBX3_HepG2,5.4075144e-10,1.6565063e-09,0.99195015,5.363985e-10
57,NIPBL_K562,5.2533916e-10,1.6989337e-09,0.9920853,5.2118126e-10
58,HNRNPA1_HepG2,5.2180177e-10,1.6249574e-09,0.99262005,5.179509e-10
59,HNRNPUL1_HepG2,5.112359e-10,1.9239605e-09,0.9931834,5.07751e-10
60,IGF2BP2_K562,5.084207e-10,2.120914e-09,0.9931969,5.0496185e-10
61,SRSF1_HepG2,5.067736e-10,1.8757735e-09,0.99185336,5.026451e-10
62,TAF15_K562,5.0215915e-10,2.5533173e-09,0.992982,4.9863497e-10
63,CSTF2_HepG2,4.97289e-10,2.0014361e-09,0.99308354,4.938495e-10
64,SBDS_K562,4.950686e-10,2.47664e-09,0.9943632,4.92278e-10
65,FUS_HepG2,4.9084364e-10,1.8351769e-09,0.99114215,4.8649584e-10
66,TIA1_K562,4.8724774e-10,1.5912289e-09,0.9938901,4.8427073e-10
67,DROSHA_HepG2,4.8428955e-10,1.2529117e-09,0.99077463,4.798218e-10
68,IGF2BP1_HepG2,4.8153537e-10,2.1292976e-09,0.99230653,4.7783066e-10
69,XPO5_HepG2,4.771159e-10,2.6121274e-09,0.9928882,4.737227e-10
70,GTF2F1_HepG2,4.7540616e-10,1.5862518e-09,0.9922371,4.717156e-10
71,TIA1_HepG2,4.736462e-10,1.1225396e-09,0.9927829,4.702278e-10
72,FAM120A_HepG2,4.730953e-10,1.3407286e-09,0.99346733,4.700047e-10
