cos_delta_phi,protein_a,protein_b
-0.16751398,FTO_HepG2,LSM11_K562
0.37607953,LSM11_K562,ZNF622_K562
0.49196717,LSM11_K562,SBDS_K562
0.50916773,LIN28B_HepG2,LSM11_K562
0.54571027,CSTF2_HepG2,LSM11_K562
0.5465191,DGCR8_K562,LSM11_K562
0.5492717,HNRNPK_K562,LSM11_K562
0.5493191,LSM11_K562,PPIG_HepG2
0.54965436,FXR2_K562,LSM11_K562
0.54983574,LSM11_K562,SF3B4_HepG2
0.549923,LSM11_K562,SF3A3_HepG2
0.5499465,LSM11_K562,XRN2_HepG2
0.5499891,LSM11_K562,RBFOX2_HepG2
0.55004615,HNRNPUL1_K562,LSM11_K562
0.55012995,DDX55_HepG2,LSM11_K562
0.55021375,DDX3X_K562,LSM11_K562
0.55023104,DKC1_HepG2,LSM11_K562
0.5503131,AQR_HepG2,LSM11_K562
0.5503284,LSM11_K562,UCHL5_K562
0.5503695,GTF2F1_K562,LSM11_K562
0.5503747,ILF3_HepG2,LSM11_K562
0.55037546,LSM11_K562,SRSF1_HepG2
0.55039126,IGF2BP1_K562,LSM11_K562
0.5504043,DDX21_K562,LSM11_K562
0.5504172,LSM11_K562,RPS3_HepG2
1.0,YBX3_HepG2,ZNF800_K562
1.0,YBX3_HepG2,ZRANB2_K562
1.0,YBX3_K562,YWHAG_K562
1.0,YBX3_K562,ZC3H11A_HepG2
1.0,YBX3_K562,ZC3H11A_K562
1.0,YBX3_K562,ZC3H8_K562
1.0,YBX3_K562,ZNF800_HepG2
1.0,YWHAG_K562,ZC3H11A_HepG2
1.0,YWHAG_K562,ZC3H11A_K562
1.0,YWHAG_K562,ZC3H8_K562
1.0,YWHAG_K562,ZNF800_HepG2
1.0,YWHAG_K562,ZNF800_K562
1.0,YWHAG_K562,ZRANB2_K562
1.0,ZC3H11A_HepG2,ZC3H11A_K562
1.0,ZC3H11A_HepG2,ZC3H8_K562
1.0,ZC3H11A_HepG2,ZNF800_HepG2
1.0,ZC3H11A_HepG2,ZNF800_K562
1.0,ZC3H11A_HepG2,ZRANB2_K562
1.0,ZC3H11A_K562,ZC3H8_K562
1.0,ZC3H11A_K562,ZNF800_HepG2
1.0,ZC3H11A_K562,ZNF800_K562
1.0,ZC3H11A_K562,ZRANB2_K562
1.0,ZC3H8_K562,ZNF800_HepG2
1.0,ZNF800_HepG2,ZNF800_K562
1.0,ZNF800_K562,ZRANB2_K562
