rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,ZNF622_K562,0.2447231,0.12634699,0.91085935,0.22290832
2,KHSRP_K562,0.11396826,0.03477982,1.1107585,0.12659122
3,LSM11_K562,0.085024506,0.03403133,1.2673067,0.10775212
4,FTO_HepG2,0.07539171,0.03210172,1.0636649,0.080191515
5,LIN28B_HepG2,0.029526068,0.008136233,1.0769461,0.031797986
6,HNRNPK_K562,0.012097681,0.07238763,0.7946179,0.009613033
7,SBDS_K562,0.010842669,0.006087628,1.1097614,0.012032775
8,LARP7_K562,0.003699554,0.0011871274,1.0426339,0.0038572804
9,IGF2BP1_HepG2,0.00013937148,7.337028e-05,1.0080569,0.00014049438
10,RBFOX2_HepG2,0.00013758628,9.122697e-05,0.9984389,0.00013737149
11,CSTF2_HepG2,5.553425e-05,3.0506717e-05,1.003411,5.5723678e-05
12,SAFB2_K562,5.541345e-05,0.0002519721,0.9882509,5.4762393e-05
13,XPO5_HepG2,4.1986837e-05,6.990106e-05,0.9966905,4.184788e-05
14,DGCR8_K562,3.3683024e-05,1.541782e-05,0.9898114,3.3339842e-05
15,DGCR8_HepG2,2.3883124e-05,1.3429404e-05,0.99568623,2.3780098e-05
16,BCCIP_HepG2,1.7010652e-05,1.2177551e-05,0.99059826,1.6850723e-05
17,HNRNPM_HepG2,1.6336802e-05,1.4313111e-05,0.99161506,1.619982e-05
18,IGF2BP2_K562,1.5861753e-05,6.914283e-06,0.9828572,1.5589838e-05
19,XRN2_HepG2,1.3604037e-05,6.961091e-06,0.98692966,1.3426227e-05
20,RBM22_HepG2,1.1670326e-05,1.5690539e-05,0.9920232,1.1577235e-05
21,EIF4G2_K562,1.0532915e-05,9.166112e-06,0.98850006,1.0411787e-05
22,FKBP4_HepG2,9.38678e-06,2.465892e-05,0.9883284,9.277222e-06
23,DDX21_K562,8.924104e-06,3.1329586e-05,0.997244,8.899509e-06
24,NIP7_HepG2,8.7717945e-06,2.9280409e-05,0.9952324,8.729974e-06
25,BUD13_HepG2,8.719324e-06,2.7235592e-05,0.9917433,8.647331e-06
26,PPIG_HepG2,8.684572e-06,7.955615e-06,0.9796246,8.507621e-06
27,GTF2F1_K562,6.844302e-06,2.0593086e-05,0.98900676,6.7690607e-06
28,SRSF1_HepG2,5.531306e-06,2.4861527e-06,0.98958236,5.473683e-06
29,HNRNPUL1_K562,4.7873414e-06,1.0335119e-05,0.9925465,4.7516587e-06
30,FXR2_K562,4.5807765e-06,9.078112e-06,0.98910844,4.530885e-06
31,CSTF2T_HepG2,4.3008276e-06,3.962235e-06,0.98298424,4.2276456e-06
32,SLBP_K562,4.212349e-06,7.820365e-06,0.99502975,4.1914122e-06
33,CSTF2T_K562,4.0817404e-06,3.0319775e-06,0.98671633,4.02752e-06
34,HNRNPK_HepG2,3.86462e-06,1.5874753e-06,0.9934333,3.8392423e-06
35,UCHL5_K562,3.7749296e-06,9.588481e-06,0.9843239,3.7157536e-06
36,XRN2_K562,3.6999068e-06,2.961222e-06,0.9889263,3.6589352e-06
37,UCHL5_HepG2,3.5066425e-06,4.7721783e-06,0.9855569,3.4559957e-06
38,U2AF2_K562,3.4555187e-06,2.7497576e-06,0.9888839,3.4171069e-06
39,SND1_HepG2,3.4365266e-06,1.7490697e-06,0.9892047,3.3994284e-06
40,DDX55_HepG2,3.3635438e-06,1.830376e-06,0.99520046,3.3474003e-06
