cos_delta_phi,protein_a,protein_b
-1.0,AARS_K562,PCBP1_K562
-0.9999997,EIF4G2_K562,RBM15_K562
-0.99999946,AKAP1_K562,SF3A3_HepG2
-0.99999917,FXR1_K562,TBRG4_K562
-0.9999991,CSTF2T_HepG2,UTP3_K562
-0.9999991,GTF2F1_HepG2,PCBP1_HepG2
-0.99999875,AQR_K562,PCBP1_HepG2
-0.99999875,DROSHA_HepG2,FXR2_HepG2
-0.9999986,LSM11_HepG2,MTPAP_K562
-0.99999857,CDC40_HepG2,UTP18_HepG2
-0.99999845,RBM15_K562,WDR43_K562
-0.99999833,PRPF4_HepG2,SRSF7_HepG2
-0.9999978,HLTF_K562,HNRNPM_HepG2
-0.99999756,DKC1_HepG2,DROSHA_HepG2
-0.9999968,DDX51_K562,RBM5_HepG2
-0.9999964,HNRNPA1_HepG2,SUPV3L1_HepG2
-0.99999595,LARP7_K562,SRSF7_HepG2
-0.99999523,DDX24_K562,NIP7_HepG2
-0.9999952,DGCR8_HepG2,U2AF1_HepG2
-0.9999951,EXOSC5_HepG2,GEMIN5_K562
-0.99999493,DDX21_K562,NKRF_HepG2
-0.9999944,EIF3G_K562,GEMIN5_K562
-0.9999941,PHF6_K562,TRA2A_HepG2
-0.99999374,HNRNPA1_K562,SFPQ_HepG2
-0.9999918,NCBP2_K562,WRN_K562
0.99999386,PUM1_K562,SMNDC1_K562
0.9999948,CSTF2_HepG2,DDX55_K562
0.9999954,PTBP1_HepG2,TIA1_K562
0.99999636,BCLAF1_HepG2,FUS_K562
0.9999966,PRPF8_HepG2,SND1_K562
0.999997,AKAP1_HepG2,ZNF800_K562
0.99999726,DGCR8_K562,DHX30_HepG2
0.9999973,SF3B1_K562,ZNF800_K562
0.99999785,DDX6_K562,PUM2_K562
0.9999984,KHSRP_K562,LSM11_K562
0.9999987,HNRNPK_HepG2,SLBP_K562
0.99999887,HNRNPC_HepG2,UTP18_K562
0.999999,FASTKD2_HepG2,PUS1_K562
0.99999917,EIF3G_K562,NOLC1_K562
0.9999992,AQR_HepG2,FTO_K562
0.9999994,NOL12_HepG2,XRCC6_K562
0.99999946,DROSHA_K562,LARP4_HepG2
0.99999946,HNRNPM_K562,TBRG4_HepG2
0.9999995,EIF4G2_K562,WDR43_K562
0.9999996,ILF3_HepG2,YBX3_K562
0.9999997,LARP7_HepG2,SRSF1_K562
0.9999999,SBDS_K562,SRSF9_HepG2
0.99999994,GRWD1_HepG2,TIA1_HepG2
1.0,AQR_K562,GTF2F1_HepG2
1.0,BCCIP_HepG2,XPO5_HepG2
