rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,HNRNPU_HepG2,0.12844427,0.020468993,1.0085735,0.1295455
2,DDX55_HepG2,0.11079332,0.042711146,0.99396205,0.11012436
3,GRWD1_HepG2,0.08052587,0.04011731,1.0168116,0.08187964
4,HNRNPK_K562,0.08016865,0.016189521,1.0049727,0.0805673
5,DGCR8_HepG2,0.05202431,0.010069589,1.0063198,0.05235309
6,HLTF_HepG2,0.04190228,0.011459586,1.0233923,0.042882472
7,PPIG_HepG2,0.041030053,0.012450112,1.0063455,0.04129041
8,RPS3_K562,0.03722654,0.0075368,1.0210066,0.03800854
9,SUPV3L1_HepG2,0.03548669,0.0069118105,1.0394126,0.036885314
10,SRSF7_HepG2,0.031519275,0.008275753,1.0092392,0.03181049
11,TRA2A_K562,0.031498935,0.007927597,1.0372231,0.03267142
12,UPF1_HepG2,0.030882353,0.007107,1.0154558,0.031359665
13,U2AF1_K562,0.030628696,0.00976114,1.0461556,0.03204238
14,IGF2BP2_K562,0.030273067,0.008332832,1.0351757,0.031337943
15,LARP7_K562,0.029891916,0.008064342,1.0357108,0.03095938
16,SDAD1_HepG2,0.029885177,0.0056920764,1.0202127,0.030489236
17,SFPQ_HepG2,0.02973521,0.005456273,1.0254096,0.03049077
18,YWHAG_K562,0.029609714,0.0058333417,1.0227414,0.03028308
19,KHSRP_HepG2,0.029388614,0.0062670396,1.0388154,0.030529344
20,AKAP8L_K562,0.02702781,0.0042936956,1.0498513,0.028375182
21,CSTF2T_K562,0.026810132,0.0051586498,1.0084766,0.027037391
22,NSUN2_K562,0.026809156,0.005630983,1.0403636,0.027891269
23,NONO_K562,0.026766593,0.0054931645,1.0381898,0.027788803
24,SUB1_HepG2,0.026723307,0.0042714695,1.0274274,0.027456257
25,DGCR8_K562,0.02544123,0.005627434,0.9992319,0.025421686
26,ZNF622_K562,0.024718415,0.00855226,0.9921443,0.024524234
27,SND1_HepG2,0.024577718,0.007802858,0.99618363,0.024483921
28,PRPF8_K562,0.02418262,0.0068222033,1.0237877,0.02475787
29,HNRNPC_HepG2,0.024138823,0.008391143,1.0012447,0.024168868
30,PRPF8_HepG2,0.023982292,0.005883948,0.99772877,0.023927823
31,FMR1_K562,0.02378778,0.00818884,1.005167,0.023910692
32,EXOSC5_K562,0.023332395,0.0040884763,1.0359715,0.024171697
33,GRSF1_HepG2,0.02273409,0.00604289,1.0292585,0.023399256
34,TARDBP_K562,0.02263926,0.004668776,0.9961236,0.022551501
35,HNRNPA1_K562,0.021480162,0.0028883219,1.0277369,0.022075955
36,BUD13_HepG2,0.021441862,0.00955845,1.0235626,0.021947088
37,FUBP3_HepG2,0.020956108,0.005284776,1.0365493,0.02172204
