rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,HNRNPC_K562,0.19320986,0.2977562,0.9850088,0.1903134
2,PABPN1_HepG2,0.19061558,0.16987358,1.1993625,0.22861718
3,SND1_HepG2,0.17862897,0.12513739,1.081996,0.19327582
4,HNRNPC_HepG2,0.074807204,0.12747061,0.83998924,0.06283725
5,U2AF2_HepG2,0.06768891,0.100402325,0.7604815,0.051476166
6,SND1_K562,0.06249603,0.060761053,1.3465058,0.08415126
7,YBX3_HepG2,0.061320435,0.14836861,0.7515695,0.04608657
8,NIP7_HepG2,0.04390131,0.046055544,1.1322688,0.049708083
9,HLTF_K562,0.043407407,0.09030921,0.93027174,0.040380683
10,YBX3_K562,0.034132145,0.060313694,1.1032453,0.03765613
11,LIN28B_K562,0.028104383,0.04411266,1.1336375,0.031860184
12,SLTM_HepG2,0.02081521,0.06268338,0.99669003,0.020746313
13,G3BP1_HepG2,1.0365221e-08,1.6716088e-08,0.9794087,1.0151787e-08
14,GRWD1_HepG2,7.557578e-09,9.125979e-09,0.98368174,7.434251e-09
15,IGF2BP2_K562,6.408472e-09,1.0026797e-08,0.98487025,6.3115135e-09
16,SRSF1_HepG2,4.961958e-09,9.829472e-09,0.97683966,4.8470374e-09
17,FXR1_K562,4.2825623e-09,7.784276e-09,0.9816074,4.2037946e-09
18,SRSF9_HepG2,4.259149e-09,1.2047356e-08,0.9781275,4.1659907e-09
19,ABCF1_K562,4.2152197e-09,7.1332726e-09,0.9842755,4.1489376e-09
20,SRSF1_K562,3.4119314e-09,7.913213e-09,0.98119044,3.3477545e-09
21,EIF3D_HepG2,3.2359484e-09,6.347591e-09,0.9831158,3.1813119e-09
22,FXR2_HepG2,2.9772222e-09,6.9915718e-09,0.98012966,2.9180638e-09
23,STAU2_HepG2,2.9409024e-09,8.966114e-09,0.98115593,2.8854839e-09
24,POLR2G_HepG2,2.8849398e-09,8.379497e-09,0.97821426,2.8220892e-09
25,U2AF1_HepG2,2.7704865e-09,5.4389213e-09,0.9812185,2.7184526e-09
26,LIN28B_HepG2,2.6411127e-09,6.3535475e-09,0.9801265,2.5886244e-09
27,AKAP1_K562,2.637274e-09,7.85089e-09,0.9781559,2.5796651e-09
28,UCHL5_HepG2,2.5053368e-09,5.2951914e-09,0.9826349,2.4618314e-09
29,DDX55_K562,2.4914695e-09,7.1894783e-09,0.9798286,2.441213e-09
