rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
1,LIN28B_K562,0.055715606,0.045107268,0.8526301,0.0475048
2,SRSF1_HepG2,0.04174611,0.041863713,0.8813909,0.036794644
3,FTO_HepG2,0.031297777,0.026621493,0.9311729,0.029143643
4,DGCR8_K562,0.018576022,0.0068366537,1.0264592,0.01906753
5,XRN2_HepG2,0.018573131,0.0059431624,0.71502835,0.013280315
6,SSB_K562,0.014323244,0.008967692,0.7325762,0.010492868
7,DDX55_HepG2,0.013784034,0.006122719,1.2993193,0.017909862
8,AKAP8L_K562,0.011216931,0.009204343,0.7381267,0.008279516
9,HNRNPC_HepG2,0.00909431,0.007903547,1.1788241,0.010720591
10,KHSRP_HepG2,0.008952088,0.0040248916,1.227214,0.010986127
11,LARP7_K562,0.006826931,0.0037322987,0.92630583,0.006323826
12,DDX21_K562,0.0023084264,0.0010690065,1.0731897,0.0024773795
13,EXOSC5_HepG2,0.0016558336,0.0012789307,1.085511,0.0017974254
14,NIP7_HepG2,0.001132672,0.00074882875,1.0333793,0.0011704798
15,NSUN2_K562,0.0005373779,0.0005335553,1.0936701,0.00058771414
16,PCBP1_HepG2,0.00040737246,0.00040275743,1.0669547,0.00043464798
17,RBM22_K562,0.00017026628,0.0002856001,0.7215668,0.0001228585
18,HNRNPU_K562,0.00015504232,0.0002238752,1.0331064,0.00016017522
19,AKAP1_K562,0.00013631556,0.00016350487,1.0106316,0.00013776482
20,TARDBP_K562,0.00010984134,0.00019521778,1.0133554,0.00011130831
21,MATR3_K562,7.847113e-05,0.0001485357,0.9919184,7.783696e-05
22,HNRNPK_K562,5.0290964e-05,9.7822034e-05,1.0166755,5.112959e-05
23,SND1_HepG2,4.1608393e-05,0.00010649314,1.0280774,4.2776646e-05
24,FMR1_K562,3.615341e-05,9.10448e-05,1.0400296,3.760062e-05
25,SERBP1_K562,3.591229e-05,6.649887e-05,1.0266397,3.6868983e-05
26,PUS1_K562,3.484878e-05,5.5868695e-05,1.0152168,3.5379067e-05
27,IGF2BP3_HepG2,2.1368014e-05,4.5480316e-05,1.0243134,2.1887545e-05
28,TIA1_K562,1.817059e-05,1.8072984e-05,1.0052509,1.8266002e-05
29,FXR1_K562,1.7097582e-05,4.059994e-05,1.0205921,1.7449656e-05
30,ABCF1_K562,1.2874345e-05,3.0318519e-05,1.0337299,1.3308595e-05
31,UPF1_HepG2,8.89241e-06,2.0548921e-05,0.9960553,8.857332e-06
32,SDAD1_K562,8.852063e-06,1.90942e-05,1.0211643,9.0394105e-06
33,SRSF9_HepG2,8.78013e-06,2.2764947e-05,1.0106667,8.873785e-06
34,FUBP3_HepG2,4.311731e-06,8.505197e-06,1.0192282,4.394638e-06
35,PUM1_K562,3.5219218e-06,7.953549e-06,0.9912945,3.4912619e-06
36,ILF3_HepG2,2.9279602e-06,4.8782267e-06,0.9839562,2.8809845e-06
37,MATR3_HepG2,2.4374488e-06,6.10354e-06,0.9731605,2.3720288e-06
38,UTP18_HepG2,2.2042689e-06,5.9334157e-06,1.0096332,2.225503e-06
39,UPF1_K562,1.8156771e-06,3.7438672e-06,0.9766399,1.7732627e-06
40,TAF15_HepG2,1.7083861e-06,2.5635939e-06,0.978158,1.6710716e-06
41,HNRNPUL1_K562,1.5036849e-06,2.8423945e-06,0.98707783,1.484254e-06
42,PUM2_K562,1.2693539e-06,1.1427796e-06,0.9825596,1.2472159e-06
43,DDX3X_K562,1.2322772e-06,3.1890831e-06,0.99007326,1.2200447e-06
44,ZRANB2_K562,1.1857242e-06,2.1892577e-06,0.966708,1.146249e-06
45,SAFB_K562,9.099964e-07,1.1213382e-06,0.97877896,8.906853e-07
46,CSTF2T_K562,7.594154e-07,1.456419e-06,0.98448503,7.4763307e-07
47,FAM120A_K562,7.4963134e-07,1.3250253e-06,0.9647215,7.2318545e-07
48,PABPC4_K562,7.0582314e-07,1.8590762e-06,0.9958644,7.029041e-07
49,LARP4_K562,6.913882e-07,1.133e-06,0.9669278,6.685225e-07
50,CSTF2T_HepG2,6.687149e-07,1.2756985e-06,0.97890764,6.546101e-07
51,BCCIP_HepG2,6.434476e-07,1.8085589e-06,0.9813682,6.31459e-07
52,TAF15_K562,6.224834e-07,1.1868589e-06,0.98603284,6.137891e-07
53,U2AF2_HepG2,5.641825e-07,1.1117424e-06,1.001683,5.6513204e-07
54,U2AF1_HepG2,5.559034e-07,1.1318573e-06,0.9601982,5.3377744e-07
55,SSB_HepG2,5.5389154e-07,1.2036882e-06,0.96288574,5.333343e-07
56,EFTUD2_HepG2,5.5115186e-07,1.03095e-06,0.97849786,5.393009e-07
57,NPM1_K562,4.831188e-07,8.21791e-07,0.9731192,4.701322e-07
58,EIF4G2_K562,4.288788e-07,9.196598e-07,0.96441066,4.1361528e-07
59,PTBP1_HepG2,4.2264648e-07,7.3256285e-07,0.9598073,4.0565916e-07
60,HNRNPL_HepG2,4.0529855e-07,7.511026e-07,0.96845937,3.9251518e-07
61,NCBP2_K562,3.680365e-07,7.316257e-07,0.97220784,3.5780798e-07
62,SF3B4_K562,3.527195e-07,6.756441e-07,0.9636831,3.3990983e-07
63,TIAL1_HepG2,3.2634821e-07,6.229008e-07,0.9706786,3.1677925e-07
64,DROSHA_HepG2,2.9619156e-07,5.978717e-07,0.9691289,2.870478e-07
65,AQR_K562,2.8351795e-07,6.155072e-07,0.9582637,2.7168497e-07
66,TBRG4_HepG2,2.8261852e-07,4.9717397e-07,0.9502604,2.685612e-07
67,QKI_HepG2,2.8129358e-07,4.846032e-07,0.97134566,2.732333e-07
68,SAFB2_K562,2.736247e-07,4.157354e-07,0.9671813,2.6464468e-07
69,QKI_K562,2.5410043e-07,4.0226465e-07,0.96022433,2.439934e-07
70,FUS_HepG2,2.5041277e-07,5.3042083e-07,0.9558873,2.393664e-07
71,ZC3H8_K562,2.4753152e-07,5.0908653e-07,0.95553744,2.3652564e-07
72,PRPF4_HepG2,2.3148014e-07,5.084572e-07,0.9602843,2.2228674e-07
73,HNRNPL_K562,2.3119041e-07,4.0932332e-07,0.95583844,2.2098068e-07
74,ZC3H11A_K562,2.2531394e-07,4.3302958e-07,0.96344644,2.1707791e-07
75,SND1_K562,2.1777379e-07,4.4736328e-07,0.9590629,2.0885875e-07
76,FAM120A_HepG2,2.1329413e-07,4.166176e-07,0.96336436,2.0547996e-07
77,DKC1_HepG2,2.1321031e-07,3.4709635e-07,0.9746668,2.0780901e-07
78,AKAP1_HepG2,2.0621317e-07,2.8861146e-07,0.9612198,1.9821618e-07
79,DDX6_HepG2,1.9990864e-07,4.3966705e-07,0.9694382,1.9379907e-07
80,DDX59_HepG2,1.9825413e-07,3.138309e-07,0.9596176,1.9024816e-07
81,U2AF2_K562,1.9659537e-07,4.4226297e-07,0.9729304,1.912736e-07
82,DHX30_K562,1.941074e-07,4.099824e-07,0.9498469,1.8437231e-07
83,CPEB4_K562,1.9293223e-07,3.8453263e-07,0.96212673,1.8562525e-07
84,GPKOW_K562,1.8567577e-07,3.291907e-07,0.9727912,1.8062376e-07
85,AGGF1_K562,1.8319288e-07,3.0229478e-07,0.9573719,1.7538372e-07
86,FASTKD2_K562,1.7838484e-07,3.173368e-07,0.9627073,1.7173238e-07
87,HNRNPA1_HepG2,1.6756566e-07,2.2040605e-07,0.9691893,1.6240284e-07
88,APOBEC3C_K562,1.6555023e-07,3.5536542e-07,0.9602982,1.5897758e-07
89,SAFB_HepG2,1.54039e-07,1.8219158e-07,0.96354455,1.4842344e-07
90,HNRNPM_HepG2,1.5386765e-07,3.6836178e-07,0.9709731,1.4940134e-07
91,DDX42_K562,1.4277322e-07,2.778584e-07,0.95496565,1.3634352e-07
92,SLTM_K562,1.4093105e-07,2.4135988e-07,0.9790859,1.379836e-07
93,FXR2_K562,1.3518913e-07,1.9544774e-07,0.9712632,1.3130422e-07
94,GEMIN5_K562,1.2462797e-07,3.0732932e-07,0.96367496,1.2010086e-07
95,FTO_K562,1.2449212e-07,1.4131378e-07,0.9603312,1.1955366e-07
96,AARS_K562,1.2420989e-07,2.6761944e-07,0.96655554,1.2005576e-07
97,POLR2G_HepG2,1.228515e-07,2.3815363e-07,0.9513489,1.16874645e-07
98,SRSF1_K562,1.2270223e-07,2.0201809e-07,0.95663404,1.17381134e-07
99,PPIL4_K562,1.2190556e-07,2.1433732e-07,0.95739263,1.1671148e-07
100,DDX52_K562,1.15818445e-07,1.6394084e-07,0.95686686,1.1082283e-07
101,WDR43_K562,1.10002254e-07,2.0882274e-07,0.96825844,1.0651061e-07
102,FUS_K562,1.0439143e-07,1.940283e-07,0.96960884,1.0121886e-07
103,RBM5_HepG2,1.00344955e-07,1.5225663e-07,0.9515356,9.5481795e-08
104,YBX3_HepG2,9.235673e-08,1.4606212e-07,0.9614167,8.87933e-08
105,RBM15_HepG2,8.273623e-08,1.656469e-07,0.947911,7.842658e-08
106,DDX52_HepG2,7.298697e-08,1.1969335e-07,0.9626794,7.0263056e-08
107,TBRG4_K562,7.249581e-08,1.2586486e-07,0.9572096,6.9393685e-08
108,PCBP2_HepG2,7.0151856e-08,1.3732863e-07,0.96406037,6.763062e-08
109,IGF2BP2_K562,6.884397e-08,1.212572e-07,0.968843,6.6698995e-08
110,CDC40_HepG2,6.774475e-08,8.828136e-08,0.9596246,6.500953e-08
111,TRA2A_HepG2,6.549119e-08,7.6725414e-08,0.9539559,6.2475706e-08
112,PTBP1_K562,6.3510186e-08,8.598407e-08,0.9505949,6.037246e-08
113,SUB1_HepG2,6.3440666e-08,1.3008778e-07,0.9514906,6.03632e-08
114,KHDRBS1_K562,6.27569e-08,7.862431e-08,0.96582836,6.061239e-08
115,WDR3_K562,6.092614e-08,1.11816966e-07,0.9525176,5.8033223e-08
116,LARP4_HepG2,5.924379e-08,1.1542466e-07,0.9590907,5.6820166e-08
117,XPO5_HepG2,5.9101392e-08,5.561182e-08,0.9545698,5.6416404e-08
118,YWHAG_K562,5.806524e-08,7.9895905e-08,0.9606348,5.577949e-08
119,XRN2_K562,5.6471382e-08,1.2725482e-07,0.96390134,5.4432842e-08
120,ZC3H11A_HepG2,5.5699115e-08,9.5291206e-08,0.9534005,5.3103562e-08
121,UCHL5_K562,5.499671e-08,9.224496e-08,0.95344996,5.243661e-08
122,KHSRP_K562,5.484555e-08,5.7410748e-08,0.9523374,5.2231467e-08
123,XRCC6_HepG2,5.461753e-08,6.524539e-08,0.94774985,5.1763756e-08
124,EXOSC5_K562,5.3606367e-08,7.836959e-08,0.962367,5.1588998e-08
125,TROVE2_K562,5.2540535e-08,1.3530978e-07,0.9632141,5.0607785e-08
126,SFPQ_HepG2,5.1796068e-08,1.0705739e-07,0.9573279,4.958582e-08
127,SUPV3L1_K562,5.1684264e-08,8.388395e-08,0.97019887,5.0144013e-08
128,SRSF7_K562,5.1243305e-08,5.749522e-08,0.9603365,4.9210815e-08
129,WRN_K562,4.9723123e-08,7.9324245e-08,0.96135324,4.7801485e-08
130,U2AF1_K562,4.882952e-08,8.498376e-08,0.9674622,4.7240714e-08
131,STAU2_HepG2,4.6316604e-08,6.28898e-08,0.94810694,4.3913094e-08
132,NIPBL_K562,4.6245468e-08,6.19408e-08,0.95715535,4.4264098e-08
133,PABPN1_HepG2,4.608878e-08,9.466634e-08,0.9631567,4.4390717e-08
134,MTPAP_K562,4.588486e-08,7.9137465e-08,0.9559099,4.3861792e-08
135,HNRNPK_HepG2,4.469135e-08,7.130821e-08,0.94826806,4.237938e-08
136,DDX55_K562,4.2022727e-08,4.9950827e-08,0.9523559,4.002059e-08
137,SMNDC1_K562,4.1005677e-08,7.56631e-08,0.96107423,3.94095e-08
138,HNRNPUL1_HepG2,4.0466123e-08,6.626251e-08,0.9504738,3.8461987e-08
139,GTF2F1_HepG2,3.9269807e-08,5.8361625e-08,0.95339173,3.743951e-08
140,WDR43_HepG2,3.9095212e-08,4.9258936e-08,0.9453787,3.6959783e-08
141,ZNF800_K562,3.8977063e-08,6.396677e-08,0.95603466,3.7263423e-08
142,PHF6_K562,3.812003e-08,7.2314194e-08,0.9596956,3.6583625e-08
143,SF3B1_K562,3.6750283e-08,4.250312e-08,0.9471919,3.480957e-08
144,DHX30_HepG2,3.617876e-08,6.906081e-08,0.9599075,3.4728263e-08
145,TIA1_HepG2,3.5744755e-08,5.4684456e-08,0.9562254,3.4180044e-08
146,SLTM_HepG2,3.509744e-08,4.880366e-08,0.9586117,3.3644817e-08
147,RBFOX2_HepG2,3.361476e-08,4.36496e-08,0.9496734,3.1923044e-08
148,ZNF622_K562,3.0794634e-08,4.4357183e-08,0.9482181,2.9200029e-08
149,HLTF_HepG2,2.967367e-08,4.759685e-08,0.95265484,2.8268765e-08
150,RBM22_HepG2,2.938293e-08,5.688155e-08,0.9465961,2.7813767e-08
151,IGF2BP1_HepG2,2.9321725e-08,3.5587426e-08,0.95020413,2.7861624e-08
152,PRPF8_K562,2.9290678e-08,2.961121e-08,0.95036334,2.7836787e-08
153,LIN28B_HepG2,2.8861164e-08,3.8407094e-08,0.96475744,2.7844022e-08
154,EIF3H_HepG2,2.8472112e-08,3.9305313e-08,0.9488646,2.7016178e-08
155,NCBP2_HepG2,2.8291405e-08,5.612889e-08,0.9572485,2.7081905e-08
156,PCBP1_K562,2.8201853e-08,2.0918437e-08,0.94881207,2.675826e-08
157,METAP2_K562,2.8055052e-08,4.084044e-08,0.95371884,2.675663e-08
158,TRA2A_K562,2.6839034e-08,2.5722802e-08,0.95116115,2.5528246e-08
159,DDX51_K562,2.6114217e-08,3.8407535e-08,0.95429057,2.4920551e-08
160,DDX6_K562,2.5783587e-08,3.691631e-08,0.9522939,2.4553552e-08
161,AGGF1_HepG2,2.555285e-08,2.7097126e-08,0.94437975,2.4131595e-08
162,HNRNPC_K562,2.5404857e-08,2.3810522e-08,0.9542287,2.4242043e-08
163,FKBP4_HepG2,2.5103263e-08,4.4811564e-08,0.9450274,2.3723272e-08
164,EWSR1_K562,2.5026853e-08,3.6045392e-08,0.9541568,2.3879544e-08
165,AATF_K562,2.3991229e-08,2.3874437e-08,0.9574291,2.29699e-08
166,CSTF2_HepG2,2.393746e-08,4.0543558e-08,0.9520103,2.2788708e-08
167,SF3A3_HepG2,2.3566514e-08,2.2510358e-08,0.9553815,2.2515012e-08
168,GTF2F1_K562,2.3332973e-08,3.9379415e-08,0.95728093,2.233621e-08
169,TROVE2_HepG2,2.3235748e-08,4.628584e-08,0.9591126,2.2285699e-08
170,DROSHA_K562,2.2217014e-08,2.6032925e-08,0.9497353,2.1100282e-08
171,SDAD1_HepG2,2.2036671e-08,3.0141994e-08,0.94665647,2.0861156e-08
172,AQR_HepG2,1.9954394e-08,2.2579384e-08,0.96033293,1.9162862e-08
173,NKRF_HepG2,1.9707162e-08,2.706493e-08,0.9445011,1.8613436e-08
174,CPSF6_K562,1.963918e-08,2.0078103e-08,0.9478862,1.8615708e-08
